Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.82743E-4,0.018274284,0.265357171,1,0,0
1.82977E-4,0.036571941,0.26564686,0.999496475,0,0
1.82977E-4,0.054869598,0.26564686,0.998992951,0,0
1.88061E-4,0.111142412,0.271920845,0.997482377,0,0
1.95015E-4,0.207945163,0.280414038,0.994964753,0,0
2.11286E-4,0.309720956,0.299902601,0.99244713,0,0
2.11731E-4,0.415542491,0.300428298,0.989929507,0.003861004,0
2.11731E-4,0.500234854,0.300428298,0.987915408,0.003861004,0
2.11731E-4,0.606100308,0.300428298,0.985397784,0.003861004,0
2.11731E-4,0.711965762,0.300428298,0.982880161,0.003861004,0
2.11731E-4,0.754311944,0.300428298,0.981873112,0.003861004,0
2.11731E-4,0.817831216,0.300428298,0.980362538,0.003861004,0
2.11731E-4,0.90252358,0.300428298,0.978348439,0.003861004,0
2.11731E-4,1.008389034,0.300428298,0.975830816,0.003861004,0
2.11731E-4,1.114254488,0.300428298,0.973313192,0.003861004,0
2.11738E-4,1.220121216,0.30043698,0.970795569,0.007722008,0.015384615
2.11787E-4,1.304831402,0.300494851,0.96878147,0.015444015,0.015384615
2.11891E-4,1.410757915,0.300617393,0.966263847,0.015444015,0.015384615
2.11961E-4,1.516723682,0.300699657,0.963746224,0.015444015,0.015384615
2.12002E-4,1.7923204,0.300747906,0.957200403,0.023166023,0.015384615
2.12002E-4,2.00432211,0.300747906,0.952165156,0.023166023,0.015384615
2.12015E-4,2.258725517,0.300763891,0.94612286,0.023166023,0.015384615
2.12767E-4,2.513580772,0.301650254,0.940080564,0.027027027,0.015384615
2.12767E-4,2.768901092,0.301650255,0.934038268,0.027027027,0.015384615
2.12829E-4,3.002954685,0.3017236,0.928499496,0.027027027,0.015384615
2.14663E-4,3.259831555,0.303881148,0.9224572,0.030888031,0.015384615
2.15237E-4,3.517589952,0.304554675,0.916414904,0.030888031,0.015384615
2.16134E-4,3.755190545,0.305607285,0.910876133,0.034749035,0.015384615
2.16293E-4,4.014710203,0.305792913,0.904833837,0.034749035,0.015384615
2.17272E-4,4.253087477,0.306939312,0.899295065,0.042471042,0.015384615
2.1778E-4,4.514276779,0.307532641,0.893252769,0.046332046,0.015384615
2.1778E-4,4.753834521,0.307532641,0.887713998,0.046332046,0.015384615
2.18412E-4,5.015678237,0.30827072,0.881671702,0.057915058,0.015384615
2.19229E-4,5.256107756,0.30922394,0.876132931,0.057915058,0.030769231
2.21376E-4,5.520478771,0.311721972,0.870090634,0.065637066,0.030769231
2.23223E-4,5.764764761,0.313863656,0.864551863,0.065637066,0.030769231
2.23223E-4,6.010309743,0.313863656,0.859013092,0.065637066,0.030769231
2.24991E-4,6.256696311,0.315907553,0.85347432,0.069498069,0.030769231
2.25023E-4,6.504221233,0.315944734,0.847935549,0.077220077,0.030769231
2.2595E-4,6.752306917,0.317013617,0.842396777,0.081081081,0.030769231
2.27359E-4,7.00133999,0.31863599,0.836858006,0.081081081,0.046153846
2.29251E-4,7.25266442,0.320807709,0.831319235,0.084942085,0.046153846
2.29747E-4,7.505270951,0.321375862,0.825780463,0.084942085,0.046153846
2.30581E-4,7.758398927,0.322330923,0.820241692,0.084942085,0.046153846
2.30939E-4,8.012075743,0.322739438,0.81470292,0.084942085,0.046153846
2.31795E-4,8.266868613,0.323717158,0.809164149,0.088803089,0.046153846
2.31795E-4,8.521842846,0.323717158,0.803625378,0.088803089,0.046153846
2.33501E-4,8.754364908,0.325661644,0.798590131,0.088803089,0.046153846
2.36078E-4,9.013257226,0.328587025,0.79305136,0.092664093,0.046153846
2.36998E-4,9.273342439,0.329628885,0.787512588,0.092664093,0.046153846
2.39237E-4,9.510958851,0.332156932,0.782477341,0.092664093,0.046153846
2.41762E-4,9.750764453,0.334996377,0.777442095,0.092664093,0.061538462
2.44053E-4,10.017614326,0.337562312,0.771903323,0.092664093,0.061538462
2.45473E-4,10.262274723,0.339147593,0.766868077,0.092664093,0.061538462
2.46337E-4,10.508426207,0.340111116,0.76183283,0.092664093,0.092307692
2.48407E-4,10.756010495,0.342411992,0.756797583,0.092664093,0.092307692
2.51756E-4,11.006304246,0.346117666,0.751762336,0.092664093,0.092307692
2.53786E-4,11.259629138,0.348353569,0.74672709,0.092664093,0.092307692
2.57747E-4,11.516275779,0.352694655,0.741691843,0.096525097,0.092307692
2.59855E-4,11.774917083,0.354993545,0.736656596,0.096525097,0.092307692
2.66906E-4,12.012202239,0.362622632,0.732124874,0.104247104,0.092307692
2.70809E-4,12.254471677,0.366806236,0.727593152,0.104247104,0.092307692
2.74587E-4,12.527127432,0.370830406,0.722557905,0.104247104,0.092307692
2.76268E-4,12.77493311,0.372612748,0.718026183,0.108108108,0.092307692
2.7744E-4,13.01994465,0.373851753,0.713494461,0.108108108,0.092307692
2.77795E-4,13.274343159,0.374226567,0.708962739,0.111969112,0.107692308
2.78797E-4,13.524491576,0.375284493,0.704431017,0.11969112,0.107692308
2.80593E-4,13.776154101,0.377174196,0.699899295,0.123552124,0.107692308
2.82034E-4,14.001330934,0.378686794,0.695871098,0.127413127,0.123076923
2.8321E-4,14.25595948,0.379918758,0.691339376,0.127413127,0.123076923
2.83554E-4,14.511014114,0.380279047,0.686807654,0.127413127,0.123076923
2.8606E-4,14.767794133,0.382893527,0.682275932,0.127413127,0.123076923
2.8767E-4,15.026076006,0.384567792,0.677744209,0.127413127,0.123076923
2.90078E-4,15.257205258,0.387063841,0.673716012,0.131274131,0.123076923
2.92498E-4,15.519624037,0.389561778,0.66918429,0.135135135,0.138461538
2.94004E-4,15.754378368,0.391110741,0.665156093,0.142857143,0.153846154
2.94857E-4,16.019682397,0.391986711,0.660624371,0.142857143,0.153846154
2.9607E-4,16.255910831,0.393229884,0.656596173,0.142857143,0.153846154
