Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.84924E-4,0.018492441,0.271677491,1,0,0
1.85169E-4,0.03700938,0.271983309,0.999496982,0,0
1.85169E-4,0.05552632,0.271983309,0.998993964,0,0
1.90502E-4,0.112423084,0.278608087,0.997484909,0,0
1.97803E-4,0.209878305,0.28758038,0.994969819,0,0
2.14922E-4,0.312040498,0.308184102,0.992454728,0,0
2.19731E-4,0.420307668,0.313863579,0.989939638,0,0
2.35445E-4,0.513237102,0.332100943,0.987927565,0.003846154,0
2.35445E-4,0.607415267,0.332100943,0.985915493,0.003846154,0
2.35445E-4,0.701593432,0.332100943,0.983903421,0.003846154,0
2.35445E-4,0.772227056,0.332100943,0.982394366,0.003846154,0
2.35445E-4,0.819316139,0.332100943,0.98138833,0.003846154,0
2.35445E-4,0.913494304,0.332100943,0.979376258,0.003846154,0
2.35445E-4,1.007672469,0.332100943,0.977364185,0.003846154,0
2.35445E-4,1.101850635,0.332100943,0.975352113,0.003846154,0
2.35445E-4,1.219573341,0.332100943,0.972837022,0.003846154,0
2.35445E-4,1.313751506,0.332100944,0.97082495,0.003846154,0
2.35447E-4,1.407929821,0.332102653,0.968812877,0.011538462,0
2.35494E-4,1.502118095,0.332156642,0.966800805,0.015384615,0
2.3571E-4,1.761300417,0.332404087,0.961267606,0.019230769,0
2.35757E-4,2.020627144,0.332457987,0.955734406,0.026923077,0
2.35757E-4,2.256384479,0.332457987,0.950704225,0.026923077,0
2.35757E-4,2.515717547,0.332457987,0.945171026,0.026923077,0
2.36183E-4,2.751638256,0.33294435,0.940140845,0.026923077,0.015625
2.36639E-4,3.011903283,0.333465964,0.934607646,0.026923077,0.015625
2.36639E-4,3.272205995,0.333465964,0.929074447,0.026923077,0.015625
2.38449E-4,3.509359115,0.335530548,0.924044266,0.026923077,0.015625
2.38824E-4,3.772044802,0.335957608,0.918511066,0.030769231,0.015625
2.4037E-4,4.011436779,0.337716081,0.913480885,0.030769231,0.015625
