x,y,species cloglog values
259.0,259.0,0.53411967
260.0,260.0,0.45238253
261.0,261.0,0.4338829
262.0,262.0,0.62357426
263.0,263.0,0.66101223
264.0,264.0,0.4965718
265.0,265.0,0.64343786
266.0,266.0,0.51569784
267.0,267.0,0.5891455
268.0,268.0,0.37480974
269.0,269.0,0.47436363
270.0,270.0,0.57582414
271.0,271.0,0.5555017
272.0,272.0,0.6013474
273.0,273.0,0.6084302
274.0,274.0,0.61799276
275.0,275.0,0.5635911
276.0,276.0,0.5253346
277.0,277.0,0.58822674
278.0,278.0,0.5173867
279.0,279.0,0.37380615
280.0,280.0,0.5280178
281.0,281.0,0.5013941
282.0,282.0,0.67746353
283.0,283.0,0.64083976
284.0,284.0,0.45750552
285.0,285.0,0.7581419
286.0,286.0,0.61185634
287.0,287.0,0.6129388
288.0,288.0,0.56000036
289.0,289.0,0.5083472
290.0,290.0,0.5033811
291.0,291.0,0.5507288
292.0,292.0,0.58838403
293.0,293.0,0.53503436
294.0,294.0,0.7216004
295.0,295.0,0.49665052
296.0,296.0,0.58806044
297.0,297.0,0.4800004
298.0,298.0,0.47253105
299.0,299.0,0.5635611
300.0,300.0,0.5698055
301.0,301.0,0.6783379
302.0,302.0,0.50738347
303.0,303.0,0.5274724
304.0,304.0,0.63962585
305.0,305.0,0.6874684
306.0,306.0,0.73867303
307.0,307.0,0.5609403
308.0,308.0,0.46644586
309.0,309.0,0.62509423
310.0,310.0,0.5381145
311.0,311.0,0.62059975
312.0,312.0,0.46517774
313.0,313.0,0.65309435
314.0,314.0,0.42196602
315.0,315.0,0.6207775
316.0,316.0,0.39900345
317.0,317.0,0.48705992
318.0,318.0,0.4910234
319.0,319.0,0.63209236
320.0,320.0,0.48595625
321.0,321.0,0.60426635
322.0,322.0,0.4740759
323.0,323.0,0.6285091
324.0,324.0,0.5255751
325.0,325.0,0.51472807
326.0,326.0,0.79772466
327.0,327.0,0.556945
328.0,328.0,0.73533756
329.0,329.0,0.7299567
330.0,330.0,0.51579505
331.0,331.0,0.4214484
332.0,332.0,0.53401357
333.0,333.0,0.44933885
334.0,334.0,0.67697734
335.0,335.0,0.55476964
336.0,336.0,0.37239873
337.0,337.0,0.80625427
338.0,338.0,0.6360639
339.0,339.0,0.58983976
340.0,340.0,0.7141803
341.0,341.0,0.58578366
342.0,342.0,0.61924356
343.0,343.0,0.55100244
344.0,344.0,0.7620765
345.0,345.0,0.4975556
346.0,346.0,0.6558585
347.0,347.0,0.628949
348.0,348.0,0.52449906
349.0,349.0,0.69821686
350.0,350.0,0.67041934
351.0,351.0,0.7051533
352.0,352.0,0.8372588
353.0,353.0,0.5736831
354.0,354.0,0.5697676
355.0,355.0,0.42857304
356.0,356.0,0.4975185
357.0,357.0,0.42932674
358.0,358.0,0.663659
359.0,359.0,0.6268108
360.0,360.0,0.62052435
361.0,361.0,0.51911587
362.0,362.0,0.46136087
363.0,363.0,0.4198369
364.0,364.0,0.5305102
365.0,365.0,0.5935185
366.0,366.0,0.5897872
367.0,367.0,0.43675414
368.0,368.0,0.45248514
369.0,369.0,0.512597
370.0,370.0,0.71244895
371.0,371.0,0.4802351
372.0,372.0,0.5433668
373.0,373.0,0.49854946
374.0,374.0,0.5985375
375.0,375.0,0.6116943
376.0,376.0,0.43530598
377.0,377.0,0.72143173
378.0,378.0,0.6268314
379.0,379.0,0.5585705
380.0,380.0,0.48391864
381.0,381.0,0.6676666
382.0,382.0,0.606243
383.0,383.0,0.53355634
384.0,384.0,0.43943903
385.0,385.0,0.6347268
386.0,386.0,0.6426425
387.0,387.0,0.572556
388.0,388.0,0.5305803
389.0,389.0,0.5802203
390.0,390.0,0.54952496
391.0,391.0,0.604619
392.0,392.0,0.6128111
393.0,393.0,0.71985346
394.0,394.0,0.51347256
395.0,395.0,0.44429353
396.0,396.0,0.67338663
397.0,397.0,0.677012
398.0,398.0,0.48993412
399.0,399.0,0.6359603
400.0,400.0,0.6315069
401.0,401.0,0.6105591
402.0,402.0,0.44386685
403.0,403.0,0.5528111
404.0,404.0,0.5604837
405.0,405.0,0.6948331
406.0,406.0,0.58194166
407.0,407.0,0.55420434
408.0,408.0,0.5107991
409.0,409.0,0.6186829
410.0,410.0,0.59393257
411.0,411.0,0.50658137
412.0,412.0,0.6741278
413.0,413.0,0.5886022
414.0,414.0,0.604713
415.0,415.0,0.4988383
416.0,416.0,0.62882614
417.0,417.0,0.60416275
418.0,418.0,0.8297557
419.0,419.0,0.6258068
420.0,420.0,0.57633865
421.0,421.0,0.4875137
422.0,422.0,0.6248211
423.0,423.0,0.5176846
424.0,424.0,0.54447025
425.0,425.0,0.72407943
426.0,426.0,0.7364465
427.0,427.0,0.6673969
428.0,428.0,0.6451064
429.0,429.0,0.7698446
430.0,430.0,0.72767854
431.0,431.0,0.4425699
432.0,432.0,0.6263564
433.0,433.0,0.6444873
434.0,434.0,0.49553543
435.0,435.0,0.6240708
436.0,436.0,0.38625386
437.0,437.0,0.57164365
438.0,438.0,0.6241589
439.0,439.0,0.69323987
440.0,440.0,0.5334423
441.0,441.0,0.6521937
442.0,442.0,0.6026308
