Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.47513E-4,0.024751282,0.529344821,1,0,0
2.47573E-4,0.049508615,0.529431522,0.999675114,0,0
2.48278E-4,0.074336438,0.530440414,0.999350227,0,0
2.48744E-4,0.124045452,0.531106403,0.998700455,0,0
2.4928E-4,0.223715233,0.531870853,0.99740091,0,0
2.53489E-4,0.324447664,0.537831678,0.996101365,0.001358696,0
2.5532E-4,0.400888207,0.540400924,0.995126706,0.001358696,0.002717391
2.59124E-4,0.503673635,0.545692954,0.99382716,0.002038043,0.002717391
2.61445E-4,0.607985574,0.548893279,0.992527615,0.003396739,0.005434783
2.62221E-4,0.712846789,0.549956989,0.99122807,0.004755435,0.005434783
2.62353E-4,0.765313241,0.55013782,0.990578298,0.005434783,0.005434783
2.62503E-4,0.817810394,0.550343935,0.989928525,0.00611413,0.005434783
2.62943E-4,0.922925203,0.55094528,0.98862898,0.007472826,0.005434783
2.63337E-4,1.001879356,0.551483839,0.987654321,0.008152174,0.008152174
2.63892E-4,1.107328107,0.552240905,0.986354776,0.010869565,0.008152174
2.64104E-4,1.212933249,0.552530471,0.985055231,0.011548913,0.008152174
2.64181E-4,1.318592978,0.552635501,0.983755686,0.012228261,0.008152174
2.64276E-4,1.424291199,0.552764149,0.98245614,0.012907609,0.013586957
2.64302E-4,1.503580464,0.55279964,0.981481481,0.014945652,0.013586957
2.64532E-4,1.767985735,0.553112582,0.978232619,0.018342391,0.016304348
2.64684E-4,2.006129921,0.553319554,0.975308642,0.019701087,0.019021739
2.64868E-4,2.270887183,0.553570049,0.972059779,0.02173913,0.02173913
2.65004E-4,2.509355395,0.553754578,0.969135802,0.02513587,0.02173913
2.65349E-4,2.774551249,0.554223275,0.96588694,0.029211957,0.02173913
2.65554E-4,3.013486645,0.554501397,0.962962963,0.032608696,0.02173913
2.65691E-4,3.252557492,0.554687036,0.960038986,0.034646739,0.02173913
2.65883E-4,3.518346972,0.554947848,0.956790123,0.03736413,0.024456522
2.66229E-4,3.757821389,0.55541614,0.953866147,0.040081522,0.027173913
2.66458E-4,4.024166948,0.555726043,0.950617284,0.042798913,0.032608696
2.67141E-4,4.264176008,0.556649416,0.947693307,0.045516304,0.043478261
2.67638E-4,4.504872918,0.557320084,0.944769331,0.046875,0.054347826
2.68202E-4,4.772847324,0.558078354,0.941520468,0.052309783,0.054347826
2.68592E-4,5.014398457,0.558603219,0.938596491,0.055027174,0.057065217
2.69026E-4,5.256304902,0.559186193,0.935672515,0.055706522,0.057065217
2.69712E-4,5.525618095,0.560105527,0.932423652,0.058423913,0.059782609
2.70273E-4,5.768579058,0.560857298,0.929499675,0.060461957,0.059782609
2.70485E-4,6.011937998,0.561140589,0.926575699,0.0625,0.059782609
2.71065E-4,6.255673084,0.561915027,0.923651722,0.064538043,0.059782609
2.71608E-4,6.527092244,0.562637737,0.920402859,0.067255435,0.059782609
2.71921E-4,6.771716656,0.56305481,0.917478882,0.069972826,0.065217391
2.72294E-4,7.016687187,0.563550742,0.914554906,0.07201087,0.067934783
2.72776E-4,7.261959814,0.564191565,0.911630929,0.076086957,0.067934783
2.73128E-4,7.50759115,0.564657949,0.908706953,0.078125,0.076086957
2.73435E-4,7.753529158,0.565064997,0.905782976,0.080163043,0.081521739
2.73728E-4,8.027123413,0.565451852,0.902534113,0.083559783,0.081521739
2.73964E-4,8.27359345,0.56576441,0.899610136,0.086956522,0.081521739
2.74258E-4,8.52028487,0.566152512,0.89668616,0.088315217,0.081521739
2.74474E-4,8.767207378,0.566437722,0.893762183,0.090353261,0.081521739
2.74673E-4,9.014345336,0.566700664,0.890838207,0.091711957,0.081521739
2.74861E-4,9.289100666,0.566948374,0.887589344,0.093070652,0.081521739
2.75058E-4,9.509085717,0.567208142,0.884990253,0.095108696,0.081521739
2.75284E-4,9.756759811,0.567506034,0.882066277,0.097146739,0.089673913
2.75569E-4,10.004659002,0.567881259,0.8791423,0.101902174,0.092391304
2.75796E-4,10.252801865,0.568180295,0.876218324,0.104619565,0.095108696
2.75933E-4,10.501086028,0.568359719,0.873294347,0.105298913,0.100543478
2.76024E-4,10.777072122,0.568479261,0.870045484,0.107336957,0.100543478
2.76214E-4,11.025601435,0.568728658,0.867121507,0.110733696,0.10326087
2.76455E-4,11.27432649,0.569044994,0.864197531,0.114809783,0.114130435
2.76727E-4,11.523301548,0.569403003,0.861273554,0.117527174,0.116847826
2.76949E-4,11.772479839,0.569693701,0.858349578,0.120923913,0.119565217
2.77156E-4,12.021818836,0.569964135,0.855425601,0.123641304,0.122282609
2.77342E-4,12.271330804,0.570208076,0.852501624,0.125,0.125
2.77613E-4,12.521094197,0.570562844,0.849577648,0.126358696,0.127717391
2.7786E-4,12.771070265,0.570885203,0.846653671,0.13111413,0.127717391
2.77996E-4,13.021200444,0.571063258,0.843729695,0.135190217,0.127717391
2.78165E-4,13.271487703,0.571283332,0.840805718,0.137228261,0.127717391
2.78326E-4,13.521917672,0.571493103,0.837881741,0.138586957,0.130434783
2.78485E-4,13.772490234,0.571701479,0.834957765,0.141304348,0.130434783
