Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,bio16 contribution,bio4 contribution,gpw2000_30_sec contribution,swa_2000lulc_2km contribution,bio16 permutation importance,bio4 permutation importance,gpw2000_30_sec permutation importance,swa_2000lulc_2km permutation importance,Training gain without bio16,Training gain without bio4,Training gain without gpw2000_30_sec,Training gain without swa_2000lulc_2km,Training gain with only bio16,Training gain with only bio4,Training gain with only gpw2000_30_sec,Training gain with only swa_2000lulc_2km,Test gain without bio16,Test gain without bio4,Test gain without gpw2000_30_sec,Test gain without swa_2000lulc_2km,Test gain with only bio16,Test gain with only bio4,Test gain with only gpw2000_30_sec,Test gain with only swa_2000lulc_2km,AUC without bio16,AUC without bio4,AUC without gpw2000_30_sec,AUC without swa_2000lulc_2km,AUC with only bio16,AUC with only bio4,AUC with only gpw2000_30_sec,AUC with only swa_2000lulc_2km,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
species_0,220,0.1067,0.1755,140,0.6713,56,0.2035,0.6821,0.0313,2151,4.7824,94.7273,0.0000,0.4902,15.3013,80.2995,0.0000,4.3992,0.1008,0.0367,0.1067,0.1061,0.0244,0.1001,0.0126,0.0153,0.1785,0.1135,0.2035,0.1935,0.0638,0.1679,0.0339,0.0746,0.6600,0.6556,0.6821,0.6760,0.6065,0.6490,0.5764,0.6318,7.5670,0.5599,1.0000,0.2281,0.9540,0.0000,0.0000,5.012E-2,5.0000,0.3177,0.8424,0.0409,0.0179,2.052E-3,10.0000,0.4320,0.7485,0.0727,0.0536,3.202E-4,1.4246,0.2425,0.9400,0.0000,0.0000,2.937E-2,16.7585,0.5026,0.6527,0.1000,0.1250,2.381E-4,45.2884,0.6775,0.3826,0.3818,0.4107,7.31E-4,19.3146,0.5220,0.6206,0.1136,0.1250,4.377E-5,44.2947,0.6763,0.3905,0.3727,0.3929,4.456E-4,29.8936,0.6354,0.5091,0.2455,0.1964,5.205E-6,1.4246,0.2425,0.9400,0.0000,0.0000,2.937E-2,2.8139,0.2761,0.8987,0.0091,0.0000,5.984E-3
species_1,221,0.1230,0.1963,240,0.6765,55,0.1486,0.6475,0.0332,2145,8.1753,90.6587,0.0000,1.1660,19.7139,76.2483,0.0000,4.0377,0.1130,0.0533,0.1230,0.1218,0.0317,0.1116,0.0110,0.0313,0.1401,0.0559,0.1486,0.1425,0.0390,0.1337,0.0382,0.0254,0.6383,0.5889,0.6475,0.6373,0.5741,0.6248,0.5950,0.5807,7.5477,0.5498,1.0000,0.2098,0.9464,0.0000,0.0000,3.877E-2,5.0000,0.3147,0.8275,0.0407,0.0545,1.03E-2,10.0000,0.4310,0.7352,0.0588,0.0909,1.734E-3,1.1300,0.2153,0.9413,0.0000,0.0000,3.196E-2,16.0766,0.4948,0.6485,0.0950,0.1273,2.477E-4,43.5213,0.6623,0.3837,0.3846,0.4182,1.257E-3,20.1918,0.5354,0.5977,0.1222,0.2000,1.107E-3,41.5819,0.6590,0.3995,0.3620,0.4000,1.201E-3,36.9820,0.6498,0.4373,0.3258,0.3091,7.483E-5,1.1300,0.2153,0.9413,0.0000,0.0000,3.196E-2,2.9033,0.2594,0.8839,0.0090,0.0000,3.599E-3
species_2,221,0.1181,0.1915,160,0.6763,55,0.1486,0.6345,0.0301,2150,3.4490,93.7370,0.0000,2.8139,17.4793,78.0349,0.0000,4.4858,0.1104,0.0565,0.1181,0.1151,0.0256,0.1072,0.0229,0.0365,0.1333,0.0487,0.1486,0.1518,0.0628,0.1341,-0.0088,0.0083,0.6192,0.5764,0.6345,0.6341,0.6026,0.6180,0.5160,0.5435,7.5551,0.5526,1.0000,0.2224,0.9530,0.0000,0.0000,4.983E-2,5.0000,0.3123,0.8405,0.0498,0.0182,2.099E-3,10.0000,0.4190,0.7447,0.0724,0.0545,3.187E-4,1.3712,0.2386,0.9405,0.0000,0.0000,3.103E-2,15.3296,0.4730,0.6647,0.0995,0.0727,1.85E-5,44.3443,0.6735,0.3772,0.3756,0.4909,2.18E-2,33.7634,0.6476,0.4633,0.2624,0.3455,2.221E-3,36.9306,0.6597,0.4372,0.3213,0.4364,2.937E-2,19.0628,0.5037,0.6149,0.1448,0.1091,1.296E-5,1.3712,0.2386,0.9405,0.0000,0.0000,3.103E-2,3.1415,0.2772,0.8884,0.0090,0.0000,4.283E-3
species_3,221,0.1224,0.1866,180,0.6613,55,0.1301,0.6754,0.0343,2145,2.2705,93.9313,0.0000,3.7982,11.3165,87.3548,0.0000,1.3287,0.1185,0.0518,0.1224,0.1183,0.0322,0.1138,0.0061,0.0310,0.1081,0.0533,0.1301,0.1421,0.0354,0.1214,0.0514,0.0249,0.6720,0.5862,0.6754,0.6749,0.5586,0.6637,0.6511,0.5670,7.5485,0.5508,1.0000,0.1799,0.9422,0.0000,0.0364,2.478E-1,5.0000,0.3152,0.8154,0.0362,0.0909,3.663E-2,10.0000,0.4501,0.7254,0.0679,0.0909,1.136E-3,1.7426,0.2064,0.9119,0.0000,0.0364,8.788E-2,13.9196,0.5047,0.6723,0.0995,0.0909,9.134E-5,44.9603,0.6688,0.3902,0.3937,0.3818,2.642E-4,23.0889,0.6214,0.5730,0.1719,0.1273,3.489E-6,45.3682,0.6696,0.3869,0.3982,0.3818,2.15E-4,35.0147,0.6564,0.4713,0.3167,0.1818,1.281E-7,1.7426,0.2064,0.9119,0.0000,0.0364,8.788E-2,2.5155,0.2333,0.8844,0.0136,0.0909,2.833E-1
species_4,221,0.1120,0.1830,140,0.6729,55,0.1907,0.6668,0.0318,2145,7.9556,90.8434,0.0000,1.2010,20.7072,76.4378,0.0000,2.8550,0.1040,0.0463,0.1120,0.1108,0.0281,0.1024,0.0156,0.0242,0.1739,0.0849,0.1907,0.1833,0.0529,0.1649,0.0224,0.0480,0.6637,0.6140,0.6668,0.6561,0.5901,0.6491,0.5625,0.5882,7.5588,0.5566,1.0000,0.2228,0.9501,0.0000,0.0000,4.463E-2,5.0000,0.3189,0.8373,0.0452,0.0364,5.566E-3,10.0000,0.4339,0.7445,0.0724,0.0545,3.168E-4,1.4045,0.2384,0.9366,0.0000,0.0000,2.683E-2,16.2542,0.4975,0.6559,0.0995,0.0727,1.139E-5,44.8288,0.6711,0.3823,0.3846,0.4182,1.163E-3,32.1026,0.6404,0.4872,0.2398,0.2727,1.838E-4,41.6642,0.6672,0.4075,0.3484,0.4000,1.83E-3,21.8914,0.5519,0.5874,0.1584,0.1273,8.614E-6,1.4045,0.2384,0.9366,0.0000,0.0000,2.683E-2,2.8183,0.2721,0.8937,0.0090,0.0000,5.269E-3
