X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,6.14112399101726E-4,55.81075051920031,0.5799758471690686
2.0,2.0,train,7.790426000684575E-4,74.91820112860829,0.6672651887420574
5.0,5.0,train,5.957250575016601E-4,53.851015704576376,0.5689239111423147
6.0,6.0,train,3.700587454350952E-4,9.200807319765694,0.40709054499918573
8.0,8.0,train,3.937447340351055E-4,17.766679810011862,0.4265992393112189
9.0,9.0,train,4.051405334041777E-4,21.33743403995534,0.4357552332730008
11.0,11.0,train,4.188900596123092E-4,25.783594177672946,0.4466079359227395
14.0,14.0,train,0.0010183243820730558,85.60690968572595,0.7626925234135321
15.0,15.0,train,6.178719922278544E-4,56.30688347549799,0.5822004658369566
16.0,16.0,train,3.8850351300286214E-4,15.350632891888472,0.4223384265401271
17.0,17.0,train,6.721773578395293E-4,62.43896242214267,0.6130503493339039
18.0,18.0,train,3.782130219122602E-4,11.991511917370138,0.41388052055539803
19.0,19.0,train,9.755520048908379E-4,84.85515826599023,0.7479132434541955
21.0,21.0,train,6.770269909837112E-4,63.11016171962443,0.6156919660831128
22.0,22.0,train,7.579184387336007E-4,73.19365774380891,0.6571873774772752
23.0,23.0,train,4.2995984353453887E-4,30.020252452609895,0.455193606895401
24.0,24.0,train,3.910679678436868E-4,16.78693985312044,0.4244271228758819
25.0,25.0,train,7.569232495689745E-4,72.82238062347353,0.6567051401325106
26.0,26.0,train,0.001933376418540799,92.44148646482842,0.9348409103515594
27.0,27.0,train,0.0018731969491185083,92.05569955846474,0.9290598740765248
28.0,28.0,train,9.804918773954955E-4,85.07273906578247,0.7496660927863055
29.0,29.0,train,0.006907735881180534,94.36004766899879,0.9999421282688908
30.0,30.0,train,0.015143162753016616,95.87435800311606,0.9999999994865901
31.0,31.0,train,5.002979624560382E-4,45.6069803250908,0.5067200654256635
32.0,32.0,train,4.3292905812002277E-4,31.176862341203584,0.45747377298285175
33.0,33.0,train,0.02258165772261367,99.99997556453884,0.999999999999986
3.0,3.0,test,4.30324585342439E-4,30.281488758508722,0.45547422066868737
4.0,4.0,test,3.7787363584521793E-4,11.833067527778006,0.41359947457495794
7.0,7.0,test,5.178365340013524E-4,46.891329388222225,0.5187902077081337
10.0,10.0,test,5.956164557073505E-4,53.83469894025963,0.5688577782742291
12.0,12.0,test,6.50312986025919E-4,58.96354452120019,0.6009134386161283
13.0,13.0,test,8.865428734945112E-4,81.45190829085234,0.7141406101210068
20.0,20.0,test,5.557427263347856E-4,51.186498022599814,0.5438780249086869
