Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,bio16 contribution,bio4 contribution,gpw2000_30_sec contribution,swa_2000lulc_2km contribution,bio16 permutation importance,bio4 permutation importance,gpw2000_30_sec permutation importance,swa_2000lulc_2km permutation importance,Training gain without bio16,Training gain without bio4,Training gain without gpw2000_30_sec,Training gain without swa_2000lulc_2km,Training gain with only bio16,Training gain with only bio4,Training gain with only gpw2000_30_sec,Training gain with only swa_2000lulc_2km,Test gain without bio16,Test gain without bio4,Test gain without gpw2000_30_sec,Test gain without swa_2000lulc_2km,Test gain with only bio16,Test gain with only bio4,Test gain with only gpw2000_30_sec,Test gain with only swa_2000lulc_2km,AUC without bio16,AUC without bio4,AUC without gpw2000_30_sec,AUC without swa_2000lulc_2km,AUC with only bio16,AUC with only bio4,AUC with only gpw2000_30_sec,AUC with only swa_2000lulc_2km,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
species_0,820,0.0265,0.0344,100,0.5783,205,0.0481,0.5913,0.0206,2438,0.0000,44.6311,8.4536,46.9153,0.0000,61.9300,11.5475,26.5225,0.0265,0.0189,0.0250,0.0230,0.0000,0.0195,0.0047,0.0174,0.0481,0.0398,0.0451,0.0371,0.0000,0.0239,0.0156,0.0370,0.5913,0.5972,0.5918,0.5795,0.5000,0.5622,0.6134,0.5682,7.7724,0.6130,1.0000,0.4654,0.9832,0.0073,0.0049,9.186E-2,5.0000,0.4920,0.9229,0.0512,0.0634,2.311E-1,10.0000,0.5170,0.8540,0.0951,0.0976,2.472E-2,0.3191,0.4118,0.9943,0.0000,0.0000,1.383E-1,10.2640,0.5180,0.8503,0.1000,0.0976,1.818E-2,45.7996,0.6536,0.4463,0.4463,0.4585,3.054E-3,56.6574,0.6734,0.3499,0.5244,0.5561,2.381E-3,44.9061,0.6496,0.4545,0.4390,0.4537,4.124E-3,34.8247,0.6010,0.5554,0.3366,0.2878,3.114E-6,0.0197,0.3728,1.0000,0.0000,0.0000,1E0,1.6195,0.4687,0.9737,0.0171,0.0195,2.731E-1
species_1,820,0.0315,0.0409,120,0.5840,205,0.0322,0.5802,0.0211,2432,0.0000,41.3920,6.3744,52.2336,0.0000,63.9783,8.1977,27.8241,0.0315,0.0231,0.0300,0.0264,0.0000,0.0212,0.0068,0.0215,0.0322,0.0242,0.0332,0.0242,0.0000,0.0251,0.0002,0.0251,0.5802,0.5718,0.5766,0.5754,0.5000,0.5731,0.5649,0.5611,7.7649,0.6096,1.0000,0.4357,0.9807,0.0061,0.0049,6.647E-2,5.0000,0.4792,0.9190,0.0585,0.0439,2.577E-2,10.0000,0.5123,0.8491,0.0915,0.0976,1.643E-2,0.2821,0.3733,0.9938,0.0000,0.0000,1.297E-1,10.5130,0.5139,0.8425,0.1000,0.0976,9.252E-3,45.6897,0.6493,0.4433,0.4439,0.4537,1.484E-3,55.6371,0.6687,0.3540,0.5183,0.5122,3.098E-5,44.8930,0.6456,0.4502,0.4366,0.4488,1.831E-3,71.9413,0.6845,0.2142,0.6805,0.6390,1.519E-7,0.0173,0.3342,1.0000,0.0000,0.0000,1E0,1.7534,0.4610,0.9688,0.0122,0.0195,1.67E-1
species_2,820,0.0316,0.0407,120,0.5832,205,0.0290,0.5670,0.0212,2443,0.0000,40.3928,2.2523,57.3549,0.0000,61.9214,2.4182,35.6604,0.0316,0.0225,0.0310,0.0254,0.0000,0.0224,0.0041,0.0219,0.0290,0.0265,0.0248,0.0257,-0.0002,0.0134,0.0145,0.0226,0.5670,0.5848,0.5603,0.5663,0.4628,0.5448,0.6011,0.5595,7.7694,0.6094,1.0000,0.4369,0.9812,0.0073,0.0000,2.366E-2,5.0000,0.4736,0.9181,0.0573,0.0537,7.036E-2,10.0000,0.5082,0.8469,0.0976,0.1073,3.437E-2,0.2828,0.3757,0.9943,0.0000,0.0000,1.385E-1,10.3871,0.5096,0.8420,0.1000,0.1122,3.608E-2,45.3240,0.6518,0.4437,0.4439,0.4537,1.551E-3,32.9411,0.5953,0.5677,0.3049,0.3610,1.969E-2,44.4346,0.6497,0.4519,0.4378,0.4537,3.295E-3,51.4603,0.6657,0.3880,0.4951,0.4927,2.289E-4,0.0173,0.3355,1.0000,0.0000,0.0000,1E0,1.7537,0.4532,0.9689,0.0134,0.0098,3.912E-2
species_3,820,0.0308,0.0403,100,0.5821,205,0.0324,0.5727,0.0205,2432,0.0000,40.3055,5.8757,53.8188,0.0000,56.6567,8.4748,34.8685,0.0308,0.0230,0.0294,0.0250,0.0000,0.0201,0.0064,0.0215,0.0324,0.0222,0.0303,0.0286,0.0000,0.0260,0.0040,0.0203,0.5727,0.5650,0.5720,0.5715,0.5000,0.5696,0.5756,0.5555,7.7657,0.6101,1.0000,0.4335,0.9815,0.0037,0.0146,3.405E-1,5.0000,0.4820,0.9202,0.0512,0.0634,1.937E-1,10.0000,0.5142,0.8507,0.0915,0.1024,2.997E-2,0.0805,0.3825,0.9988,0.0000,0.0000,3.074E-1,10.7250,0.5172,0.8413,0.1000,0.1171,5.137E-2,45.6604,0.6429,0.4445,0.4451,0.4341,2.353E-4,56.4677,0.6699,0.3466,0.5183,0.5805,1.416E-2,45.9663,0.6435,0.4416,0.4463,0.4439,4.818E-4,34.5681,0.6006,0.5551,0.3329,0.2683,1.807E-7,0.0195,0.3680,1.0000,0.0000,0.0000,1E0,1.7719,0.4637,0.9696,0.0098,0.0244,3.074E-1
species_4,820,0.0291,0.0378,120,0.5806,205,0.0362,0.5802,0.0210,2444,0.0000,39.7047,4.6620,55.6333,0.0000,65.5874,6.5827,27.8299,0.0291,0.0209,0.0280,0.0241,0.0003,0.0201,0.0052,0.0198,0.0362,0.0286,0.0340,0.0294,-0.0023,0.0252,0.0072,0.0264,0.5802,0.5809,0.5779,0.5782,0.4849,0.5753,0.5757,0.5654,7.7723,0.6112,1.0000,0.4526,0.9832,0.0073,0.0049,9.235E-2,5.0000,0.4819,0.9214,0.0537,0.0537,9.256E-2,10.0000,0.5125,0.8515,0.0988,0.0878,7.247E-3,0.0658,0.4103,0.9992,0.0000,0.0049,9.79E-1,10.3739,0.5137,0.8462,0.1000,0.0878,4.387E-3,45.2508,0.6472,0.4489,0.4488,0.4195,7.554E-5,33.5794,0.5974,0.5667,0.3122,0.3220,6.466E-4,47.3766,0.6532,0.4292,0.4671,0.4293,2.123E-5,48.6730,0.6553,0.4173,0.4817,0.4293,4.224E-6,0.0215,0.4004,1.0000,0.0000,0.0000,1E0,1.7515,0.4607,0.9709,0.0134,0.0098,5E-2
species (average),820.0000,0.0299,0.0388,112.0000,0.5816,205.0000,0.0356,0.5783,0.0209,2437.8000,0.0000,41.2852,5.5236,53.1912,0.0000,62.0148,7.4442,30.5411,0.0299,0.0217,0.0287,0.0248,0.0001,0.0207,0.0054,0.0204,0.0356,0.0283,0.0335,0.0290,-0.0005,0.0227,0.0083,0.0263,0.5783,0.5799,0.5757,0.5742,0.4895,0.5650,0.5861,0.5619,7.7689,0.6107,1.0000,0.4448,0.9820,0.0063,0.0059,0.1230,5.0000,0.4817,0.9203,0.0544,0.0556,0.1227,10.0000,0.5128,0.8504,0.0949,0.0985,0.0225,0.2061,0.3907,0.9961,0.0000,0.0010,0.3386,10.4526,0.5145,0.8445,0.1000,0.1025,0.0239,45.5449,0.6490,0.4453,0.4456,0.4439,0.0013,47.0565,0.6409,0.4370,0.4356,0.4664,0.0074,45.5153,0.6483,0.4455,0.4454,0.4459,0.0020,48.2935,0.6414,0.4260,0.4654,0.4234,0.0000,0.0191,0.3622,1.0000,0.0000,0.0000,1.0000,1.7300,0.4615,0.9704,0.0132,0.0166,0.1673
