variable,x,y
bio4,587.6,0.9613547921180725
bio4,590.4416,0.9613547921180725
bio4,593.2832000000001,0.9613547921180725
bio4,596.1248,0.9613547921180725
bio4,598.9664,0.9613547921180725
bio4,601.808,0.9613547921180725
bio4,604.6496000000001,0.9613547921180725
bio4,607.4912,0.9613547921180725
bio4,610.3328,0.9613547921180725
bio4,613.1744,0.9613547921180725
bio4,616.0160000000001,0.9613547921180725
bio4,618.8576,0.9613547921180725
bio4,621.6992,0.9613547921180725
bio4,624.5408,0.9613547921180725
bio4,627.3824000000001,0.9613547921180725
bio4,630.224,0.9613547921180725
bio4,633.0656,0.9613547921180725
bio4,635.9072,0.9613547921180725
bio4,638.7488000000001,0.9613547921180725
bio4,641.5904,0.9613547921180725
bio4,644.432,0.9613547921180725
bio4,647.2736,0.9613547921180725
bio4,650.1152000000001,0.9613547921180725
bio4,652.9568,0.9613547921180725
bio4,655.7984,0.9613547921180725
bio4,658.6400000000001,0.9613547921180725
bio4,661.4816000000001,0.9613547921180725
bio4,664.3232,0.9613547921180725
bio4,667.1648,0.9613547921180725
bio4,670.0064,0.9613547921180725
bio4,672.8480000000001,0.9613547921180725
bio4,675.6896,0.9613547921180725
bio4,678.5312,0.9613547921180725
bio4,681.3728000000001,0.9613547921180725
bio4,684.2144000000001,0.9613547921180725
bio4,687.056,0.9613547921180725
bio4,689.8976,0.9613547921180725
bio4,692.7392,0.9613547921180725
bio4,695.5808000000001,0.9613547921180725
bio4,698.4224,0.9613547921180725
bio4,701.264,0.9613547921180725
bio4,704.1056000000001,0.9613547921180725
bio4,706.9472000000001,0.9609894156455994
bio4,709.7888,0.9598790407180786
bio4,712.6304,0.958747148513794
bio4,715.472,0.9575934410095215
bio4,718.3136000000001,0.9564179182052612
bio4,721.1552,0.9552204012870789
bio4,723.9968,0.9540007710456848
bio4,726.8384000000001,0.9527589082717896
bio4,729.6800000000001,0.9514946937561035
bio4,732.5216,0.9502080082893372
bio4,735.3632,0.9488987326622009
bio4,738.2048,0.9475668668746948
bio4,741.0464000000001,0.9462122321128845
bio4,743.888,0.94483482837677
bio4,746.7296000000001,0.943434476852417
bio4,749.5712000000001,0.9420111179351807
bio4,752.4128000000001,0.9405648112297058
bio4,755.2544,0.9390953779220581
bio4,758.096,0.9376028180122375
bio4,760.9376000000001,0.9360870122909546
bio4,763.7792000000001,0.9345480799674988
bio4,766.6208,0.932985782623291
bio4,769.4624000000001,0.9314002394676208
bio4,772.3040000000001,0.9297913908958435
bio4,775.1456000000001,0.9281591773033142
bio4,777.9872,0.9265037178993225
bio4,780.8288,0.9248248934745789
bio4,783.6704000000001,0.9231227040290833
bio4,786.5120000000001,0.9213972091674805
bio4,789.3536,0.9196484684944153
bio4,792.1952,0.9178764224052429
bio4,795.0368000000001,0.9160811305046082
bio4,797.8784,0.9142626523971558
bio4,800.72,0.9124210476875305
bio4,803.5616,0.9105562567710876
bio4,806.4032000000001,0.9086684584617615
bio4,809.2448,0.906757652759552
bio4,812.0864,0.904823899269104
bio4,814.9280000000001,0.902867317199707
bio4,817.7696000000001,0.9008879661560059
bio4,820.6112,0.8988859057426453
bio4,823.4528,0.8968613147735596
bio4,826.2944,0.8948141932487488
bio4,829.1360000000001,0.8927446603775024
bio4,831.9776,0.8906528353691101
bio4,834.8192,0.8885388374328613
bio4,837.6608000000001,0.8864028453826904
bio4,840.5024000000001,0.8842449188232422
bio4,843.344,0.8820651769638062
bio4,846.1856,0.8798637390136719
bio4,849.0272,0.8776408433914185
bio4,851.8688000000001,0.8753966093063354
bio4,854.7104,0.8731310963630676
bio4,857.5520000000001,0.8708446025848389
bio4,860.3936000000001,0.8685371279716492
bio4,863.2352000000001,0.8662089705467224
bio4,866.0768,0.8638603091239929
bio4,868.9184,0.8614912033081055
bio4,871.7600000000001,0.8591019511222839
bio4,874.6016000000001,0.8566926717758179
bio4,877.4432,0.8542636036872864
bio4,880.2848000000001,0.851814866065979
bio4,883.1264000000001,0.8493466973304749
bio4,885.9680000000001,0.846859335899353
bio4,888.8096,0.8443529605865479
bio4,891.6512,0.8418277502059937
bio4,894.4928,0.8392840027809143
bio4,897.3344000000001,0.8367218375205994
bio4,900.1760000000002,0.8341414928436279
bio4,903.0176000000001,0.8315433263778687
bio4,905.8592000000001,0.8289273977279663
bio4,908.7008000000001,0.8262940049171448
bio4,911.5424,0.8236434459686279
bio4,914.384,0.8209758996963501
bio4,917.2256,0.8182915449142456
bio4,920.0672000000001,0.8155906796455383
bio4,922.9088,0.8128735423088074
bio4,925.7504000000001,0.8101404309272766
bio4,928.5920000000001,0.8073916435241699
bio4,931.4336000000001,0.8046272397041321
bio4,934.2752,0.8018476366996765
bio4,937.1168,0.7990530729293823
bio4,939.9584,0.7962437868118286
bio4,942.8000000000001,0.7934200167655945
bio4,945.6416,0.7905820608139038
bio4,948.4832000000001,0.7877301573753357
bio4,951.3248000000001,0.7848645448684692
bio4,954.1664000000001,0.7819857001304626
bio4,957.008,0.7790936231613159
bio4,959.8496,0.7761886715888977
bio4,962.6912000000001,0.7732712030410767
bio4,965.5328000000001,0.7703414559364319
bio4,968.3744,0.7673996686935425
bio4,971.2160000000001,0.7644461393356323
bio4,974.0576000000001,0.7614811062812805
bio4,976.8992000000001,0.7585049867630005
bio4,979.7408,0.7555178999900818
bio4,982.5824,0.7525201439857483
bio4,985.4240000000001,0.7495120763778687
bio4,988.2656000000001,0.746493935585022
bio4,991.1072000000001,0.7434660792350769
bio4,993.9488000000001,0.7404286861419678
bio4,996.7904000000001,0.7373820543289185
bio4,999.6320000000001,0.7343264818191528
bio4,1002.4736,0.7312623262405396
bio4,1005.3152000000001,0.7281897068023682
bio4,1008.1568000000001,0.7251090407371521
bio4,1010.9984000000002,0.7220205664634705
bio4,1013.8400000000001,0.7189245223999023
bio4,1016.6816000000001,0.7158213257789612
bio4,1019.5232000000001,0.7127110958099365
bio4,1022.3648000000001,0.7095941305160522
bio4,1025.2064,0.706470787525177
bio4,1028.048,0.7033413648605347
bio4,1030.8896,0.7002059817314148
bio4,1033.7312000000002,0.6970651149749756
bio4,1036.5728000000001,0.6939190030097961
bio4,1039.4144000000001,0.6907676458358765
bio4,1042.256,0.6876116991043091
bio4,1045.0976,0.684451162815094
bio4,1047.9392,0.6812865138053894
bio4,1050.7808,0.6781178712844849
bio4,1053.6224000000002,0.6749454736709595
bio4,1056.464,0.6717697978019714
bio4,1059.3056000000001,0.6685909628868103
bio4,1062.1472,0.6654090881347656
bio4,1064.9888,0.6622247099876404
bio4,1067.8304,0.6590378880500793
bio4,1070.672,0.655849039554596
bio4,1073.5136,0.6526584029197693
bio4,1076.3552,0.6494660377502441
bio4,1079.1968000000002,0.6462724208831787
bio4,1082.0384000000001,0.6430776119232178
bio4,1084.88,0.6398820877075195
bio4,1087.7216,0.6366859674453735
bio4,1090.5632,0.6334893107414246
bio4,1093.4048,0.6302927732467651
bio4,1096.2464,0.6270961761474609
bio4,1099.0880000000002,0.6239001154899597
bio4,1101.9296000000002,0.620704710483551
bio4,1104.7712000000001,0.6175099611282349
bio4,1107.6128,0.614316463470459
bio4,1110.4544,0.6111242771148682
bio4,1113.2960000000003,0.6079334616661072
bio4,1116.1376,0.604744553565979
bio4,1118.9792000000002,0.6015574932098389
bio4,1121.8208,0.5983728170394897
bio4,1124.6624000000002,0.5951905250549316
bio4,1127.5040000000001,0.5920107364654541
bio4,1130.3456,0.5888339877128601
bio4,1133.1872,0.5856601595878601
bio4,1136.0288,0.5824897289276123
bio4,1138.8704,0.5793227553367615
bio4,1141.712,0.5761594176292419
bio4,1144.5536000000002,0.5730000138282776
bio4,1147.3952,0.5698447823524475
bio4,1150.2368000000001,0.5666936635971069
bio4,1153.0784,0.5635471343994141
bio4,1155.92,0.5604051351547241
bio4,1158.7616000000003,0.5572681427001953
bio4,1161.6032,0.5541362166404724
bio4,1164.4448000000002,0.5510093569755554
bio4,1167.2864,0.5478881001472473
bio4,1170.1280000000002,0.544772207736969
bio4,1172.9696000000001,0.5416622757911682
bio4,1175.8112,0.5385582447052002
bio4,1178.6528,0.5354602336883545
bio4,1181.4944,0.532368540763855
bio4,1184.3360000000002,0.5292832255363464
bio4,1187.1776,0.5262046456336975
bio4,1190.0192000000002,0.5231328010559082
bio4,1192.8608,0.5200677514076233
bio4,1195.7024000000001,0.5170099139213562
bio4,1198.544,0.5139592885971069
bio4,1201.3856,0.5109158754348755
bio4,1204.2272,0.5078801512718201
bio4,1207.0688,0.5048519968986511
bio4,1209.9104000000002,0.5018317103385925
bio4,1212.7520000000002,0.49881941080093384
bio4,1215.5936000000002,0.49581506848335266
bio4,1218.4352000000001,0.49281904101371765
bio4,1221.2768,0.48983126878738403
bio4,1224.1184000000003,0.48685207962989807
bio4,1226.96,0.48388150334358215
bio4,1229.8016000000002,0.4809195101261139
bio4,1232.6432,0.4779664874076843
bio4,1235.4848000000002,0.47502246499061584
bio4,1238.3264000000001,0.47208738327026367
bio4,1241.1680000000001,0.46916159987449646
bio4,1244.0096,0.46624502539634705
bio4,1246.8512,0.4633379876613617
bio4,1249.6928,0.4604404866695404
bio4,1252.5344,0.4575524628162384
bio4,1255.3760000000002,0.45467430353164673
bio4,1258.2176,0.45180585980415344
bio4,1261.0592000000001,0.4489474594593048
bio4,1263.9008000000001,0.44609904289245605
bio4,1266.7424,0.44326066970825195
bio4,1269.5840000000003,0.4404325783252716
bio4,1272.4256,0.43761467933654785
bio4,1275.2672000000002,0.4348072409629822
bio4,1278.1088,0.432010293006897
bio4,1280.9504000000002,0.4292237460613251
bio4,1283.7920000000001,0.42644792795181274
bio4,1286.6336000000001,0.4236828088760376
bio4,1289.4752,0.42092832922935486
bio4,1292.3168,0.4181848168373108
bio4,1295.1584000000003,0.41545209288597107
bio4,1298.0,0.41273045539855957
bio4,1300.8416000000002,0.4100198447704315
bio4,1303.6832,0.4073202311992645
bio4,1306.5248000000001,0.4046352207660675
bio4,1309.3664,0.40255773067474365
bio4,1312.208,0.4009506106376648
bio4,1315.0496000000003,0.39986276626586914
bio4,1317.8912,0.3994677662849426
bio4,1320.7328000000002,0.3994677662849426
bio4,1323.5744000000002,0.3994677662849426
bio4,1326.4160000000002,0.3994677662849426
bio4,1329.2576000000001,0.3994677662849426
bio4,1332.0992,0.3994677662849426
bio4,1334.9408,0.3994677662849426
bio4,1337.7824,0.3994677662849426
bio4,1340.6240000000003,0.3994677662849426
bio4,1343.4656,0.3994677662849426
bio4,1346.3072000000002,0.3994677662849426
bio4,1349.1488,0.3994677662849426
bio4,1351.9904000000001,0.3994677662849426
bio4,1354.832,0.3994677662849426
bio4,1357.6736,0.3994677662849426
bio4,1360.5152,0.3994677662849426
bio4,1363.3568,0.3994677662849426
bio4,1366.1984000000002,0.3994677662849426
bio4,1369.0400000000002,0.3994677662849426
bio4,1371.8816000000002,0.3994677662849426
bio4,1374.7232000000001,0.3994677662849426
bio4,1377.5648,0.3994677662849426
bio4,1380.4064000000003,0.3994677662849426
bio4,1383.248,0.3994677662849426
bio4,1386.0896000000002,0.3994677662849426
bio4,1388.9312,0.3994677662849426
bio4,1391.7728000000002,0.3994677662849426
bio4,1394.6144000000002,0.3994677662849426
bio4,1397.4560000000001,0.3994677662849426
bio4,1400.2976,0.3994677662849426
bio4,1403.1392,0.3994677662849426
bio4,1405.9808,0.3994677662849426
bio4,1408.8224,0.3994677662849426
bio4,1411.6640000000002,0.3994677662849426
bio4,1414.5056,0.3994677662849426
bio4,1417.3472000000002,0.3994677662849426
bio4,1420.1888000000004,0.3994677662849426
bio4,1423.0304,0.3994677662849426
bio4,1425.8720000000003,0.3994677662849426
bio4,1428.7136,0.3994677662849426
bio4,1431.5552000000002,0.3994677662849426
bio4,1434.3968000000002,0.3994677662849426
bio4,1437.2384000000002,0.3994677662849426
bio4,1440.0800000000002,0.3994677662849426
bio4,1442.9216000000001,0.3994677662849426
bio4,1445.7632,0.3994677662849426
bio4,1448.6048,0.3994677662849426
bio4,1451.4464000000003,0.3994677662849426
bio4,1454.288,0.3994677662849426
bio4,1457.1296000000002,0.3994677662849426
bio4,1459.9712,0.3994677662849426
bio4,1462.8128000000002,0.3994677662849426
bio4,1465.6544000000001,0.3994677662849426
bio4,1468.496,0.3994677662849426
bio4,1471.3376,0.3994677662849426
bio4,1474.1792,0.3994677662849426
bio4,1477.0208000000002,0.3994677662849426
bio4,1479.8624000000002,0.3994677662849426
