X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,9.640097348751187E-4,48.869431342848344,0.6858902080042649
2.0,2.0,train,9.763936317690674E-4,49.25833371195326,0.6905283538860925
4.0,4.0,train,0.0014137967485778988,75.48761484808813,0.8170088492694426
5.0,5.0,train,0.0011109932322384613,59.16029861699834,0.7367302257964188
6.0,6.0,train,6.743151199902909E-4,26.657008804799407,0.5551500491685177
7.0,7.0,train,0.0014565381201338608,78.49109348341734,0.8261670293140323
9.0,9.0,train,8.404900667421251E-4,38.567677030074336,0.6356481323139072
11.0,11.0,train,6.657625765812763E-4,26.029527559814365,0.5505562336204327
12.0,12.0,train,0.0012550108235558455,66.02860433999174,0.7785540084530241
13.0,13.0,train,0.001384037256173293,73.3855709995898,0.81034886327808
16.0,16.0,train,0.0013899386143401515,73.80135580190118,0.8116885426875617
17.0,17.0,train,0.001045178267712851,53.70540970970296,0.7150712305698781
18.0,18.0,train,9.88936615129399E-4,50.044321240892266,0.6951562746952753
19.0,19.0,train,0.001010200675439416,51.468699056148026,0.7028444007116592
20.0,20.0,train,0.0016832491345902497,92.14943306887653,0.8676090572137202
21.0,21.0,train,0.0011235790766731162,59.75212068819607,0.7406805834405149
22.0,22.0,train,3.7326150362374585E-4,10.213428602342864,0.3613373089709304
24.0,24.0,train,6.32623476871122E-4,23.62177387728155,0.532303795410484
25.0,25.0,train,0.0012496823376092893,65.84049163913028,0.7771320260817561
27.0,27.0,train,0.0013549041815257453,71.60593568985246,0.8035943335529712
28.0,28.0,train,3.096043890987308E-4,8.779347921488906,0.31058439468932697
29.0,29.0,train,6.686013032130718E-4,26.172560774480147,0.5520862305948998
30.0,30.0,train,0.0011148122266750166,59.33993564374149,0.7379352232675838
31.0,31.0,train,9.238533205905559E-4,46.141020425950884,0.6703668705674254
32.0,32.0,train,0.0016338550434310288,90.17296545541828,0.8595159891570292
33.0,33.0,train,8.028313428408187E-4,35.60350971031247,0.6187873117796956
35.0,35.0,train,7.726694890181701E-4,32.76424861978187,0.6047220224394807
36.0,36.0,train,5.615724548153063E-4,19.4232298952797,0.4906330422622742
37.0,37.0,train,0.0017848025912429236,95.8808042180519,0.8828132795076127
38.0,38.0,train,0.0013434233856568377,70.92406314830093,0.8008668880226345
39.0,39.0,train,0.0020462530884499037,98.07527553303163,0.9143985486267157
40.0,40.0,train,0.0011055817739118433,58.92535349488136,0.7350132682777051
42.0,42.0,train,3.428903460435934E-4,9.420333976175645,0.33760657824635076
43.0,43.0,train,7.531937819463152E-4,31.396337105883052,0.5953654271887068
45.0,45.0,train,9.599167723060219E-4,48.58105499317097,0.6843420359436061
46.0,46.0,train,0.0016092080407998407,89.18171224505862,0.8552944786377168
47.0,47.0,train,0.0018801488266467277,96.88815266626024,0.8954950650930049
48.0,48.0,train,0.0014801436239213692,80.2524850427487,0.8310270089273023
49.0,49.0,train,0.0015152336010205464,83.55536507870453,0.8380014804723381
50.0,50.0,train,0.0015724721671559361,86.7977317964077,0.8487658034005686
51.0,51.0,train,0.0017628610563420273,95.0784882959804,0.8796835034275037
52.0,52.0,train,5.611747884361968E-4,19.39689014692615,0.49038966204163925
53.0,53.0,train,5.547435774625705E-4,19.00079162693677,0.48643743821705376
54.0,54.0,train,0.0016832491345902497,92.14943306887653,0.8676090572137202
55.0,55.0,train,0.0016269180724709177,89.82897406380287,0.8583404437131644
56.0,56.0,train,0.001054110283089643,54.754536508340294,0.7181120445858744
59.0,59.0,train,0.0015926725162625623,88.07799017093129,0.8523914229569146
60.0,60.0,train,0.0012233773456989164,65.34316068458392,0.7699772278386283
61.0,61.0,train,7.248967791526698E-4,29.257462938557676,0.5813747920928979
62.0,62.0,train,0.0016338550434310288,90.17296545541828,0.8595159891570292
63.0,63.0,train,0.0014739423101984232,79.75983127881157,0.8297635780216231
64.0,64.0,train,0.001395865135144835,74.6343115169596,0.8130244104220375
67.0,67.0,train,0.0010591561119041547,55.09294163734121,0.7198154789671591
68.0,68.0,train,0.0016548439314738748,90.97832479155743,0.8630137075507965
69.0,69.0,train,1.9320025308371808E-4,5.555548181883532,0.20711810525935714
73.0,73.0,train,0.0010587515889759218,55.07174708671146,0.7196792953999
74.0,74.0,train,8.704288367841526E-4,41.13028404365909,0.6485187922644926
75.0,75.0,train,5.429466609962294E-4,18.402317284221024,0.4791079341584926
77.0,77.0,train,0.0010722039631816103,55.81887425058577,0.7241727641808098
78.0,78.0,train,4.2739308668177274E-4,11.7559031622991,0.4015451370645826
79.0,79.0,train,5.037304965162375E-4,16.36829539374542,0.45398245549091176
80.0,80.0,train,4.440716080520523E-4,12.853019609892453,0.4134158708557395
81.0,81.0,train,3.7326150362374585E-4,10.213428602342864,0.3613373089709304
