x,y,species median
230.0,230.0,0.49296698
231.0,231.0,0.60041726
232.0,232.0,0.4759883
233.0,233.0,0.7591756
234.0,234.0,0.7153046
235.0,235.0,0.6789291
236.0,236.0,0.7686121
237.0,237.0,0.4777432
238.0,238.0,0.56557333
239.0,239.0,0.49275348
240.0,240.0,0.7534055
241.0,241.0,0.44689894
242.0,242.0,0.4788017
243.0,243.0,0.56126
244.0,244.0,0.7588604
245.0,245.0,0.52611953
246.0,246.0,0.68499553
247.0,247.0,0.4527645
248.0,248.0,0.43939924
249.0,249.0,0.7543473
250.0,250.0,0.639198
251.0,251.0,0.46793336
252.0,252.0,0.72856694
253.0,253.0,0.62297136
254.0,254.0,0.49984282
255.0,255.0,0.5299215
256.0,256.0,0.6880934
257.0,257.0,0.74529004
258.0,258.0,0.6754918
259.0,259.0,0.4968732
260.0,260.0,0.46522683
261.0,261.0,0.60275066
262.0,262.0,0.5295826
263.0,263.0,0.5348405
264.0,264.0,0.49652377
265.0,265.0,0.5782823
266.0,266.0,0.6799027
267.0,267.0,0.5944277
268.0,268.0,0.4489724
269.0,269.0,0.57306004
270.0,270.0,0.77119064
271.0,271.0,0.69383496
272.0,272.0,0.5197925
273.0,273.0,0.49038926
274.0,274.0,0.44933802
275.0,275.0,0.4791813
276.0,276.0,0.4714216
277.0,277.0,0.78663754
278.0,278.0,0.44117704
279.0,279.0,0.44689894
280.0,280.0,0.5128171
281.0,281.0,0.4455721
282.0,282.0,0.50981724
283.0,283.0,0.46013865
284.0,284.0,0.5146637
285.0,285.0,0.72492504
286.0,286.0,0.45188236
287.0,287.0,0.66092885
288.0,288.0,0.454218
289.0,289.0,0.5560261
290.0,290.0,0.43939924
291.0,291.0,0.6101776
292.0,292.0,0.6622671
293.0,293.0,0.43914306
294.0,294.0,0.56229
295.0,295.0,0.664705
296.0,296.0,0.70752275
297.0,297.0,0.6754336
298.0,298.0,0.6099955
299.0,299.0,0.6364104
300.0,300.0,0.5166064
301.0,301.0,0.4489724
302.0,302.0,0.5844642
303.0,303.0,0.48051974
304.0,304.0,0.44689894
305.0,305.0,0.46522683
306.0,306.0,0.43939924
307.0,307.0,0.49652377
308.0,308.0,0.5841039
309.0,309.0,0.6622671
310.0,310.0,0.6615387
311.0,311.0,0.5557972
312.0,312.0,0.4632399
313.0,313.0,0.7004037
314.0,314.0,0.5161891
315.0,315.0,0.5925563
316.0,316.0,0.49958912
317.0,317.0,0.80405915
318.0,318.0,0.5734897
319.0,319.0,0.44132373
320.0,320.0,0.6098686
321.0,321.0,0.49958912
322.0,322.0,0.6216122
323.0,323.0,0.5677118
324.0,324.0,0.5899687
325.0,325.0,0.45058787
326.0,326.0,0.5629806
327.0,327.0,0.6340993
328.0,328.0,0.48275465
329.0,329.0,0.4751984
330.0,330.0,0.512081
331.0,331.0,0.44689894
332.0,332.0,0.44933802
333.0,333.0,0.47967833
334.0,334.0,0.6802362
335.0,335.0,0.43939924
336.0,336.0,0.57854235
337.0,337.0,0.59989464
338.0,338.0,0.649802
339.0,339.0,0.65070444
340.0,340.0,0.64366204
341.0,341.0,0.43892825
342.0,342.0,0.43876955
343.0,343.0,0.49335587
344.0,344.0,0.8149009
345.0,345.0,0.6431442
346.0,346.0,0.6567522
347.0,347.0,0.44117704
348.0,348.0,0.6070327
349.0,349.0,0.46207955
350.0,350.0,0.6611453
351.0,351.0,0.7260409
352.0,352.0,0.51403105
353.0,353.0,0.5471257
354.0,354.0,0.56557333
355.0,355.0,0.5922645
356.0,356.0,0.94954497
357.0,357.0,0.49521598
358.0,358.0,0.64437526
359.0,359.0,0.4819319
360.0,360.0,0.59534097
361.0,361.0,0.58699805
362.0,362.0,0.5725236
363.0,363.0,0.6027691
364.0,364.0,0.68763614
365.0,365.0,0.4708646
366.0,366.0,0.6392959
367.0,367.0,0.7431652
368.0,368.0,0.5523655
369.0,369.0,0.5162223
370.0,370.0,0.4776166
371.0,371.0,0.62507915
372.0,372.0,0.5851414
373.0,373.0,0.74613816
374.0,374.0,0.6342005
375.0,375.0,0.44689894
376.0,376.0,0.6364204
377.0,377.0,0.68912166
378.0,378.0,0.54226357
379.0,379.0,0.5162223
380.0,380.0,0.5582128
381.0,381.0,0.5451568
382.0,382.0,0.51988393
383.0,383.0,0.5298355
384.0,384.0,0.5068105
385.0,385.0,0.44563943
386.0,386.0,0.70459473
387.0,387.0,0.70213515
388.0,388.0,0.7383369
389.0,389.0,0.49652377
390.0,390.0,0.45745912
391.0,391.0,0.43939924
392.0,392.0,0.63229805
393.0,393.0,0.46522683
394.0,394.0,0.78356767
395.0,395.0,0.62485087
396.0,396.0,0.49006575
397.0,397.0,0.66289216
398.0,398.0,0.49100718
399.0,399.0,0.5538943
400.0,400.0,0.6383747
401.0,401.0,0.4931368
402.0,402.0,0.6529849
403.0,403.0,0.848962
404.0,404.0,0.6766099
405.0,405.0,0.44689894
406.0,406.0,0.43936396
407.0,407.0,0.44652838
408.0,408.0,0.5224679
409.0,409.0,0.4388488
410.0,410.0,0.44117704
411.0,411.0,0.47766837
412.0,412.0,0.42140743
413.0,413.0,0.49975452
414.0,414.0,0.56229
415.0,415.0,0.58699805
416.0,416.0,0.60048354
417.0,417.0,0.4759883
418.0,418.0,0.5160231
419.0,419.0,0.4832708
420.0,420.0,0.7562152
421.0,421.0,0.4751984
422.0,422.0,0.4804217
423.0,423.0,0.57050043
424.0,424.0,0.4827047
425.0,425.0,0.5523655
426.0,426.0,0.59927815
427.0,427.0,0.49824944
428.0,428.0,0.564967
429.0,429.0,0.55182964
430.0,430.0,0.70710796
431.0,431.0,0.4714216
432.0,432.0,0.43876955
433.0,433.0,0.6451687
434.0,434.0,0.4827047
435.0,435.0,0.6274452
436.0,436.0,0.44689894
437.0,437.0,0.6383083
438.0,438.0,0.64841425
439.0,439.0,0.64688927
440.0,440.0,0.7082759
441.0,441.0,0.74895793
442.0,442.0,0.6959893
443.0,443.0,0.59425825
444.0,444.0,0.5572668
445.0,445.0,0.4745664
446.0,446.0,0.66047776
447.0,447.0,0.49490026
448.0,448.0,0.59773684
449.0,449.0,0.7767476
450.0,450.0,0.6527822
451.0,451.0,0.770717
452.0,452.0,0.50171906
453.0,453.0,0.55182964
454.0,454.0,0.5162223
455.0,455.0,0.48031378
456.0,456.0,0.63568914
457.0,457.0,0.49621373
458.0,458.0,0.49120966
459.0,459.0,0.7111254
460.0,460.0,0.49304786
461.0,461.0,0.6141247
462.0,462.0,0.44117704
463.0,463.0,0.4712109
464.0,464.0,0.5147905
465.0,465.0,0.74372816
466.0,466.0,0.51684713
467.0,467.0,0.4797251
468.0,468.0,0.4941974
469.0,469.0,0.68873525
470.0,470.0,0.5558384
471.0,471.0,0.5443209
472.0,472.0,0.741884
473.0,473.0,0.8149009
474.0,474.0,0.48947936
475.0,475.0,0.4788017
476.0,476.0,0.80008185
477.0,477.0,0.51403105
478.0,478.0,0.7846015
479.0,479.0,0.49958912
480.0,480.0,0.44933802
481.0,481.0,0.66557395
482.0,482.0,0.6106106
483.0,483.0,0.45070508
484.0,484.0,0.49033752
485.0,485.0,0.43939924
486.0,486.0,0.5162223
487.0,487.0,0.59009624
488.0,488.0,0.5043575
489.0,489.0,0.43939924
490.0,490.0,0.51403105
491.0,491.0,0.831033
492.0,492.0,0.4827047
493.0,493.0,0.5248584
494.0,494.0,0.5928952
495.0,495.0,0.6489464
496.0,496.0,0.59295917
497.0,497.0,0.61812526
498.0,498.0,0.7353591
499.0,499.0,0.575205
500.0,500.0,0.80868906
