x,y,species_1 cloglog values
1.0,1.0,0.451758
2.0,2.0,0.49652377
3.0,3.0,0.6079397
4.0,4.0,0.6456836
5.0,5.0,0.75497854
6.0,6.0,0.41058096
7.0,7.0,0.42454344
8.0,8.0,0.5952763
9.0,9.0,0.6180584
10.0,10.0,0.43691966
11.0,11.0,0.523696
12.0,12.0,0.78354156
13.0,13.0,0.6525044
14.0,14.0,0.51382893
15.0,15.0,0.49984282
16.0,16.0,0.46868175
17.0,17.0,0.7165464
18.0,18.0,0.77914315
19.0,19.0,0.8158609
20.0,20.0,0.782255
21.0,21.0,0.7051747
22.0,22.0,0.58438975
23.0,23.0,0.8278493
24.0,24.0,0.596453
25.0,25.0,0.48415455
26.0,26.0,0.59935796
27.0,27.0,0.5348672
28.0,28.0,0.72214794
29.0,29.0,0.58468103
30.0,30.0,0.6313972
31.0,31.0,0.6793867
32.0,32.0,0.6306358
33.0,33.0,0.6517039
34.0,34.0,0.495196
35.0,35.0,0.5475074
36.0,36.0,0.6383396
37.0,37.0,0.8542558
38.0,38.0,0.5942994
39.0,39.0,0.81948984
40.0,40.0,0.5768936
41.0,41.0,0.73823446
42.0,42.0,0.4293847
43.0,43.0,0.7419714
44.0,44.0,0.62001103
45.0,45.0,0.53598464
46.0,46.0,0.6944724
47.0,47.0,0.48415774
48.0,48.0,0.53117526
49.0,49.0,0.43878254
50.0,50.0,0.6352356
51.0,51.0,0.47755376
52.0,52.0,0.40223506
53.0,53.0,0.49958912
54.0,54.0,0.7257804
55.0,55.0,0.7008284
56.0,56.0,0.58899957
57.0,57.0,0.8278493
58.0,58.0,0.51449424
59.0,59.0,0.5007654
60.0,60.0,0.5987279
61.0,61.0,0.61617535
62.0,62.0,0.6966657
63.0,63.0,0.598797
64.0,64.0,0.49800655
65.0,65.0,0.7728498
66.0,66.0,0.5890835
67.0,67.0,0.46868175
68.0,68.0,0.49800655
69.0,69.0,0.61167276
70.0,70.0,0.6421475
71.0,71.0,0.8064656
72.0,72.0,0.5029282
73.0,73.0,0.80796415
74.0,74.0,0.63955337
75.0,75.0,0.6939579
76.0,76.0,0.43878254
77.0,77.0,0.5348672
78.0,78.0,0.55553705
79.0,79.0,0.5408904
80.0,80.0,0.410581
81.0,81.0,0.5958784
82.0,82.0,0.67475367
83.0,83.0,0.5959503
84.0,84.0,0.48575228
85.0,85.0,0.72028965
86.0,86.0,0.53451025
87.0,87.0,0.41966188
88.0,88.0,0.84182584
89.0,89.0,0.41088173
90.0,90.0,0.47797728
91.0,91.0,0.4120261
92.0,92.0,0.5433932
93.0,93.0,0.84311557
94.0,94.0,0.58734846
95.0,95.0,0.48415774
96.0,96.0,0.5166596
97.0,97.0,0.87153757
98.0,98.0,0.6202057
99.0,99.0,0.3806501
100.0,100.0,0.55042964
101.0,101.0,0.6108626
102.0,102.0,0.45189974
103.0,103.0,0.50938934
104.0,104.0,0.45843947
105.0,105.0,0.43691966
106.0,106.0,0.5276727
107.0,107.0,0.55938196
108.0,108.0,0.5705093
109.0,109.0,0.73823446
110.0,110.0,0.24302053
111.0,111.0,0.6837752
112.0,112.0,0.78329146
113.0,113.0,0.49518704
114.0,114.0,0.4293847
115.0,115.0,0.72364867
116.0,116.0,0.46092576
117.0,117.0,0.45451692
118.0,118.0,0.71480405
119.0,119.0,0.5153205
120.0,120.0,0.62424845
121.0,121.0,0.43691966
122.0,122.0,0.7900903
123.0,123.0,0.41611663
124.0,124.0,0.43878254
125.0,125.0,0.5518004
126.0,126.0,0.6585052
127.0,127.0,0.63422644
128.0,128.0,0.53426766
129.0,129.0,0.7589811
130.0,130.0,0.72211325
131.0,131.0,0.5475074
132.0,132.0,0.740329
133.0,133.0,0.69813627
134.0,134.0,0.49536383
135.0,135.0,0.50118464
136.0,136.0,0.43387178
137.0,137.0,0.67902434
138.0,138.0,0.50693476
139.0,139.0,0.49003744
140.0,140.0,0.4380901
141.0,141.0,0.43552777
142.0,142.0,0.64875394
143.0,143.0,0.49949506
144.0,144.0,0.6421806
145.0,145.0,0.4325332
146.0,146.0,0.62788504
147.0,147.0,0.7499108
148.0,148.0,0.43878254
149.0,149.0,0.66523147
150.0,150.0,0.732057
151.0,151.0,0.56651944
152.0,152.0,0.5715605
153.0,153.0,0.52368885
154.0,154.0,0.62833315
155.0,155.0,0.4293847
156.0,156.0,0.41201234
157.0,157.0,0.563741
158.0,158.0,0.43878254
159.0,159.0,0.7809356
160.0,160.0,0.47797135
161.0,161.0,0.4744473
162.0,162.0,0.4120261
163.0,163.0,0.4904391
164.0,164.0,0.4723498
165.0,165.0,0.49797127
166.0,166.0,0.5890835
167.0,167.0,0.561259
168.0,168.0,0.5092178
169.0,169.0,0.47397986
170.0,170.0,0.58722216
