X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,4.574289480399552E-4,29.536301759661693,0.5722312240086748
2.0,2.0,train,8.062322758868683E-4,85.51427895100055,0.7761305069787906
5.0,5.0,train,3.056631115368425E-4,11.521267996954379,0.43302151306763104
6.0,6.0,train,6.691601523219114E-4,59.90798924984287,0.7112606542508384
7.0,7.0,train,6.26527655643365E-4,50.477108671217096,0.687480315329404
8.0,8.0,train,5.368040914914883E-4,36.52914883783959,0.6308398532245283
9.0,9.0,train,7.349318363239875E-4,71.01946729011537,0.7444480766041093
10.0,10.0,train,7.93842824856346E-4,83.08084612116241,0.7709218811544634
11.0,11.0,train,5.443511599403115E-4,37.460841772973026,0.6359758718869246
12.0,12.0,train,2.2079585218716884E-4,6.314322378984345,0.33627414441529113
14.0,14.0,train,7.423447115077537E-4,72.76794088262116,0.7479407124398918
15.0,15.0,train,5.710877678714452E-4,40.62986723978779,0.6536027519476304
16.0,16.0,train,7.210567546068742E-4,67.71957982072891,0.7377801287593505
17.0,17.0,train,6.796798460349504E-4,61.484029681011634,0.7168446824590874
18.0,18.0,train,6.296122792108346E-4,51.27286598667121,0.689264784108872
19.0,19.0,train,0.001514590269075511,99.50554354423683,0.9398966634584739
20.0,20.0,train,6.611604992578856E-4,58.478862251796386,0.70694071006274
21.0,21.0,train,8.65391377049996E-4,93.58064881710207,0.799414592498286
22.0,22.0,train,7.908682354672909E-4,82.37604886589907,0.7696534043169538
23.0,23.0,train,6.215133671687211E-4,48.76788650799693,0.6845576314319732
24.0,24.0,train,7.509871335380456E-4,74.5081958118713,0.7519524380748746
27.0,27.0,train,6.363834291254922E-4,52.94511067930635,0.6931462742589825
28.0,28.0,train,5.372191389388797E-4,36.61857987618791,0.6311241798424339
29.0,29.0,train,9.723202198781046E-4,97.8212133698706,0.8355285327514269
30.0,30.0,train,7.642362864856937E-4,76.96895034796562,0.7579789411466451
32.0,32.0,train,8.525271614779313E-4,92.27942843326451,0.7945667225998035
33.0,33.0,train,3.6158495522833705E-4,16.395791513683026,0.4889293277105915
34.0,34.0,train,7.716674843565403E-4,78.31361409455756,0.7612947697764209
35.0,35.0,train,7.491655925434227E-4,74.14682877936393,0.7511122419622506
36.0,36.0,train,6.297829988062781E-4,51.5243311276814,0.689363248067612
37.0,37.0,train,0.0011674573159999545,99.35407699165705,0.8855103973042875
38.0,38.0,train,8.825088830422622E-4,94.68319481298931,0.8056883838689152
39.0,39.0,train,7.890491852561426E-4,81.82637353802453,0.7688742342931739
40.0,40.0,train,5.64974854836699E-4,39.98147886452028,0.6496494368021204
41.0,41.0,train,5.404736245440959E-4,37.098442576789914,0.6333460748897722
42.0,42.0,train,7.617891851526719E-4,76.6252343942319,0.7568769852742463
43.0,43.0,train,7.781034977033711E-4,79.5478389262145,0.7641298103381254
44.0,44.0,train,9.321190898780515E-4,96.94902592613757,0.8227844829738142
45.0,45.0,train,6.186687086921952E-4,48.274264777538434,0.6828874269552359
46.0,46.0,train,7.713357661086923E-4,78.26083445990159,0.7611477291695742
47.0,47.0,train,5.650095755696184E-4,39.991475206926744,0.6496720181556408
48.0,48.0,train,8.290907108665734E-4,89.31022619466036,0.7854315515827104
49.0,49.0,train,5.887216460465281E-4,42.841158322638314,0.6647586742501272
50.0,50.0,train,6.505838164512694E-4,56.51242012129251,0.701129751113284
51.0,51.0,train,7.354579234043787E-4,71.28994731313212,0.7446975343521416
52.0,52.0,train,7.197272413015546E-4,67.44687221032694,0.7371321412956245
53.0,53.0,train,8.072052128093129E-4,85.7562866030843,0.7765344868426496
54.0,54.0,train,6.257981022229384E-4,50.21539900064683,0.6870567690579219
55.0,55.0,train,5.990609805223098E-4,44.51253637923684,0.6711319270439077
58.0,58.0,train,7.976618303548418E-4,83.80927452915093,0.7725402129744338
59.0,59.0,train,6.315722731264105E-4,51.87577925016042,0.6903933517692733
60.0,60.0,train,6.363354298081757E-4,52.87797784247324,0.6931189305091117
61.0,61.0,train,6.598660762213697E-4,58.24979250666247,0.7062356503634586
62.0,62.0,train,6.746429291970776E-4,60.65569367569794,0.7141846080065619
63.0,63.0,train,8.542936245517743E-4,92.45393578531049,0.7952392898730245
64.0,64.0,train,4.427165798887165E-4,27.824840951027706,0.5603869575507479
65.0,65.0,train,6.420057292351253E-4,54.25917509724619,0.6963323290258417
66.0,66.0,train,5.303669277357566E-4,35.88292141623025,0.626401936828181
67.0,67.0,train,5.031339346602517E-4,33.79173847773301,0.6070289550379817
68.0,68.0,train,4.592584933973601E-4,29.61435335528319,0.5736816220999541
69.0,69.0,train,8.175332692484621E-4,87.76627288522715,0.7807781866410808
71.0,71.0,train,3.79985751231397E-4,18.8380430266319,0.5060923335806689
72.0,72.0,train,3.438382092598693E-4,14.82318005177492,0.4718116228034269
74.0,74.0,train,4.658838779408815E-4,30.030626401094025,0.5788929616048597
75.0,75.0,train,4.3427858330043163E-4,26.982551479279447,0.5534465003473118
76.0,76.0,train,5.887702292048109E-4,42.85096022801167,0.6647889082753524
77.0,77.0,train,8.354759925697727E-4,89.96799896011596,0.7879599571547571
