x,y,species max
229.0,229.0,0.57760763
230.0,230.0,0.38321334
231.0,231.0,0.58378625
232.0,232.0,0.41379842
233.0,233.0,0.80626196
234.0,234.0,0.758514
235.0,235.0,0.7223043
236.0,236.0,0.8143323
237.0,237.0,0.42074832
238.0,238.0,0.6314953
239.0,239.0,0.38236126
240.0,240.0,0.80637944
241.0,241.0,0.4529606
242.0,242.0,0.39681208
243.0,243.0,0.5580365
244.0,244.0,0.87915117
245.0,245.0,0.5522544
246.0,246.0,0.72873574
247.0,247.0,0.37933153
248.0,248.0,0.36351112
249.0,249.0,0.68991274
250.0,250.0,0.75717497
251.0,251.0,0.37123406
252.0,252.0,0.7664916
253.0,253.0,0.4870082
254.0,254.0,0.46571413
255.0,255.0,0.41181654
256.0,256.0,0.7322242
257.0,257.0,0.7748695
258.0,258.0,0.70952773
259.0,259.0,0.57539505
260.0,260.0,0.39520603
261.0,261.0,0.6118765
262.0,262.0,0.5123488
263.0,263.0,0.48658925
264.0,264.0,0.55253124
265.0,265.0,0.66170764
266.0,266.0,0.80473447
267.0,267.0,0.61502624
268.0,268.0,0.36586845
269.0,269.0,0.59160775
270.0,270.0,0.8196629
271.0,271.0,0.7212538
272.0,272.0,0.60909903
273.0,273.0,0.38288102
274.0,274.0,0.38600084
275.0,275.0,0.5507418
276.0,276.0,0.38325623
277.0,277.0,0.82409966
278.0,278.0,0.37356874
279.0,279.0,0.44097844
280.0,280.0,0.3946428
281.0,281.0,0.35676074
282.0,282.0,0.59690344
283.0,283.0,0.47525427
284.0,284.0,0.3928605
285.0,285.0,0.76936394
286.0,286.0,0.38853067
287.0,287.0,0.58148944
288.0,288.0,0.3876847
289.0,289.0,0.6392662
290.0,290.0,0.37083137
291.0,291.0,0.54650134
292.0,292.0,0.69933534
293.0,293.0,0.37067756
294.0,294.0,0.62949264
295.0,295.0,0.7301093
296.0,296.0,0.78296006
297.0,297.0,0.72014344
298.0,298.0,0.5463059
299.0,299.0,0.68262565
300.0,300.0,0.4426274
301.0,301.0,0.3643982
302.0,302.0,0.5894813
303.0,303.0,0.4003685
304.0,304.0,0.43237808
305.0,305.0,0.40870017
306.0,306.0,0.3650377
307.0,307.0,0.55253124
308.0,308.0,0.6252031
309.0,309.0,0.692112
310.0,310.0,0.67217094
311.0,311.0,0.601166
312.0,312.0,0.37989867
313.0,313.0,0.74386984
314.0,314.0,0.40744206
315.0,315.0,0.4786009
316.0,316.0,0.43494052
317.0,317.0,0.8536245
318.0,318.0,0.46671364
319.0,319.0,0.37467366
320.0,320.0,0.66152143
321.0,321.0,0.44249067
322.0,322.0,0.7238741
323.0,323.0,0.6713936
324.0,324.0,0.7200902
325.0,325.0,0.37892818
326.0,326.0,0.4500066
327.0,327.0,0.7587199
328.0,328.0,0.38244396
329.0,329.0,0.5114323
330.0,330.0,0.43689746
331.0,331.0,0.4612311
332.0,332.0,0.38101536
333.0,333.0,0.504687
334.0,334.0,0.6973005
335.0,335.0,0.37077194
336.0,336.0,0.47260484
337.0,337.0,0.70512843
338.0,338.0,0.5108488
339.0,339.0,0.66699106
340.0,340.0,0.593822
341.0,341.0,0.3680592
342.0,342.0,0.36944446
343.0,343.0,0.42165568
344.0,344.0,0.8045837
345.0,345.0,0.55979425
346.0,346.0,0.69745785
347.0,347.0,0.3758434
348.0,348.0,0.56297296
349.0,349.0,0.44560748
350.0,350.0,0.7031739
351.0,351.0,0.7460153
352.0,352.0,0.39194477
353.0,353.0,0.4422944
354.0,354.0,0.63327783
355.0,355.0,0.6444701
356.0,356.0,0.974445
357.0,357.0,0.51339674
358.0,358.0,0.5882236
359.0,359.0,0.40254113
360.0,360.0,0.5981139
361.0,361.0,0.6979312
362.0,362.0,0.6489417
363.0,363.0,0.5913583
364.0,364.0,0.73442423
365.0,365.0,0.38253784
366.0,366.0,0.7468835
367.0,367.0,0.7954359
368.0,368.0,0.59613425
369.0,369.0,0.39407396
370.0,370.0,0.40376836
371.0,371.0,0.6736247
372.0,372.0,0.633677
373.0,373.0,0.7986648
374.0,374.0,0.6732094
375.0,375.0,0.46678886
376.0,376.0,0.64063126
377.0,377.0,0.7305514
378.0,378.0,0.4380326
379.0,379.0,0.3929609
380.0,380.0,0.6133716
381.0,381.0,0.4858572
382.0,382.0,0.47514904
383.0,383.0,0.46149307
384.0,384.0,0.4298154
385.0,385.0,0.35772657
386.0,386.0,0.7643864
387.0,387.0,0.74832153
388.0,388.0,0.64255154
389.0,389.0,0.5531296
390.0,390.0,0.37127042
391.0,391.0,0.37327382
392.0,392.0,0.73133546
393.0,393.0,0.4133786
394.0,394.0,0.82915884
395.0,395.0,0.6564975
396.0,396.0,0.3771897
397.0,397.0,0.71187675
398.0,398.0,0.3848887
399.0,399.0,0.6180063
400.0,400.0,0.7308243
401.0,401.0,0.4009538
402.0,402.0,0.770834
403.0,403.0,0.85440826
404.0,404.0,0.776758
405.0,405.0,0.40306756
406.0,406.0,0.37223855
407.0,407.0,0.3528897
408.0,408.0,0.42379048
409.0,409.0,0.37061968
410.0,410.0,0.3935619
411.0,411.0,0.39447382
412.0,412.0,0.38929924
413.0,413.0,0.43647546
414.0,414.0,0.578213
415.0,415.0,0.6358631
416.0,416.0,0.6331528
417.0,417.0,0.4075808
418.0,418.0,0.570889
419.0,419.0,0.55938524
420.0,420.0,0.7952553
421.0,421.0,0.5260619
422.0,422.0,0.40678272
423.0,423.0,0.46001872
424.0,424.0,0.38968146
425.0,425.0,0.5878598
426.0,426.0,0.50239855
427.0,427.0,0.40563592
428.0,428.0,0.664375
429.0,429.0,0.5708649
430.0,430.0,0.70519334
431.0,431.0,0.38325623
432.0,432.0,0.3658401
433.0,433.0,0.7603259
434.0,434.0,0.38968146
435.0,435.0,0.66340077
436.0,436.0,0.44314367
437.0,437.0,0.73985547
438.0,438.0,0.773695
439.0,439.0,0.6913052
440.0,440.0,0.75139606
441.0,441.0,0.79676014
442.0,442.0,0.7397022
443.0,443.0,0.60819453
444.0,444.0,0.65625364
445.0,445.0,0.39844137
446.0,446.0,0.71209776
447.0,447.0,0.42465076
448.0,448.0,0.48384187
449.0,449.0,0.9115085
450.0,450.0,0.6944252
451.0,451.0,0.82231265
452.0,452.0,0.43666375
453.0,453.0,0.59794694
454.0,454.0,0.39320806
455.0,455.0,0.45124108
456.0,456.0,0.67391336
457.0,457.0,0.38811153
458.0,458.0,0.41562808
459.0,459.0,0.6424182
460.0,460.0,0.4470542
461.0,461.0,0.47477114
462.0,462.0,0.37572345
463.0,463.0,0.38298443
464.0,464.0,0.4060402
465.0,465.0,0.7912562
466.0,466.0,0.39586082
467.0,467.0,0.40563452
468.0,468.0,0.3886131
469.0,469.0,0.7350576
470.0,470.0,0.64167094
471.0,471.0,0.56368816
472.0,472.0,0.79090464
473.0,473.0,0.86922723
474.0,474.0,0.3757726
475.0,475.0,0.39681208
476.0,476.0,0.843753
477.0,477.0,0.39071253
478.0,478.0,0.8334976
479.0,479.0,0.43725708
480.0,480.0,0.38600084
481.0,481.0,0.70768106
482.0,482.0,0.7052444
483.0,483.0,0.36895588
484.0,484.0,0.5251458
485.0,485.0,0.3656849
486.0,486.0,0.39525107
487.0,487.0,0.6919977
488.0,488.0,0.3874736
489.0,489.0,0.3628666
490.0,490.0,0.38985145
491.0,491.0,0.9053113
492.0,492.0,0.38808608
493.0,493.0,0.45930138
494.0,494.0,0.5446152
495.0,495.0,0.66855305
496.0,496.0,0.6269771
497.0,497.0,0.6577998
498.0,498.0,0.8264006
499.0,499.0,0.46833855
500.0,500.0,0.8714253
501.0,501.0,0.4163733
502.0,502.0,0.3725011
503.0,503.0,0.6313689
504.0,504.0,0.58184284
505.0,505.0,0.7799598
506.0,506.0,0.7034001
507.0,507.0,0.8285382
508.0,508.0,0.3906187
509.0,509.0,0.6762759
510.0,510.0,0.879468
511.0,511.0,0.59666455
512.0,512.0,0.7809846
513.0,513.0,0.59324914
514.0,514.0,0.4003685
515.0,515.0,0.6251621
516.0,516.0,0.36743248
517.0,517.0,0.4011752
518.0,518.0,0.4003685
519.0,519.0,0.7159747
520.0,520.0,0.545408
521.0,521.0,0.38937432
522.0,522.0,0.5074361
523.0,523.0,0.88130146
524.0,524.0,0.6626453
525.0,525.0,0.6784904
526.0,526.0,0.3674707
527.0,527.0,0.3816398
528.0,528.0,0.48603627
529.0,529.0,0.83366174
530.0,530.0,0.46377876
531.0,531.0,0.43610936
532.0,532.0,0.7381778
533.0,533.0,0.84511566
534.0,534.0,0.39681208
535.0,535.0,0.55854744
536.0,536.0,0.69803596
537.0,537.0,0.42399916
538.0,538.0,0.60300624
539.0,539.0,0.7961795
540.0,540.0,0.7417072
541.0,541.0,0.58996904
542.0,542.0,0.44917753
543.0,543.0,0.728044
544.0,544.0,0.39799264
545.0,545.0,0.68625367
546.0,546.0,0.80505955
547.0,547.0,0.7642908
548.0,548.0,0.72180486
549.0,549.0,0.7050026
550.0,550.0,0.4754784
551.0,551.0,0.40208134
552.0,552.0,0.36435124
553.0,553.0,0.3698003
554.0,554.0,0.61955565
555.0,555.0,0.5819473
556.0,556.0,0.3675227
557.0,557.0,0.40039155
558.0,558.0,0.6854724
559.0,559.0,0.7680237
560.0,560.0,0.73432606
561.0,561.0,0.39796376
562.0,562.0,0.3686366
563.0,563.0,0.86841387
564.0,564.0,0.40982112
565.0,565.0,0.5575849
566.0,566.0,0.71432745
567.0,567.0,0.5008111
568.0,568.0,0.7677249
569.0,569.0,0.6800941
570.0,570.0,0.7435949
571.0,571.0,0.64809155
572.0,572.0,0.52165246
573.0,573.0,0.4003685
574.0,574.0,0.57028997
575.0,575.0,0.3561824
576.0,576.0,0.7187247
577.0,577.0,0.675135
578.0,578.0,0.458942
579.0,579.0,0.83300143
580.0,580.0,0.4084273
581.0,581.0,0.8703709
