"","species","AUC","bio16.contribution","bio4.contribution","gpw2000_30_sec.contribution","simplelc2000.contribution","bio16.permutation.importance","bio4.permutation.importance","gpw2000_30_sec.permutation.importance","simplelc2000.permutation.importance"
"1","Afzelia africana",0.7454,57.474,23.4231,2.3251,16.7779,56.4216,38.1991,0.6305,4.7488
"2","Azadirachta indica",0.7585,0,0,4.8126,95.1874,0,0,10.5137,89.4863
"3","Bidens pilosa",0.7298,36.0713,0,9.8536,54.0751,55.4215,0,0.2375,44.341
"4","Bombax buonopozense",0.795,12.8712,0,0,87.1288,21.6691,0,0,78.3309
"5","Celtis mildbraedii",0.8279,2.1844,28.0793,0.1651,69.5713,3.1846,68.8098,0.3231,27.6825
"6","Cercestis afzelii",0.8521,0.0283,23.1216,0,76.8501,0.1227,61.9821,0,37.8953
"7","Coix lacryma-jobi",0.7967,3.8991,94.8345,1.1335,0.1329,8.8954,83.847,6.4906,0.767
"8","Crotalaria macrocalyx",0.8185,0,66.083,5.0607,28.8563,0,71.363,5.9216,22.7154
"9","Cryptolepis nigrescens",0.7871,22.597,34.2682,1.1247,42.0101,19.359,59.7509,0,20.8901
"10","Cymbopogon giganteus",0.7301,1.9217,97.4559,0.0103,0.6121,5.4504,93.2932,0,1.2563
"11","Cyperus articulatus",0.6824,91.1197,0,0,8.8803,69.858,0,0,30.142
"12","Gardenia ternifolia",0.6952,1.0413,3.1481,17.1695,78.6412,18.7727,39.5222,15.8393,25.8658
"13","Heterotis rotundifolia",0.7382,0,69.8533,0.1826,29.9641,0,69.0987,0,30.9013
"14","Hygrophila schulli",0.6914,71.1609,0,7.2955,21.5437,63.1746,0,8.2317,28.5937
"15","Landolphia owariensis",0.8051,0,96.2013,0,3.7987,0,93.549,0,6.451
"16","Macaranga barteri",0.8541,3.416,70.9529,0,25.631,0.1338,99.8662,0,0
"17","Marantochloa leucantha",0.8336,0.6106,42.3665,0,57.023,0,76.778,0,23.222
"18","Marsdenia latifolia",0.8023,0,87.037,0,12.963,0,96.5132,0,3.4868
"19","Monodora myristica",0.7918,1.2902,79.9953,0.0276,18.6869,0,95.8134,0.2326,3.954
"20","Morinda lucida",0.77,1.8594,56.4831,13.6809,27.9766,10.0859,25.5349,8.3113,56.068
"21","Ocimum gratissimum",0.7941,1.2831,90.4376,0,8.2792,8.048,77.1716,0,14.7804
"22","Paullinia pinnata",0.6698,14.9082,0,0.0863,85.0055,18.6463,0,2.1035,79.2502
"23","Senna occidentalis",0.7203,0,5.4818,14.9053,79.6129,0,63.2231,13.7866,22.9902
"24","Solanum torvum",0.8217,8.968,43.2947,23.1004,24.6369,15.8461,58.6596,12.691,12.8033
"25","Strophanthus hispidus",0.6622,18.206,4.8797,27.7433,49.1709,0,32.7845,25.115,42.1004
"26","Trichilia monadelpha",0.7966,0,52.5933,1.1264,46.2804,0,70.9899,2.8121,26.1981
"27","Trilepisium madagascariense",0.7603,0,34.6188,0.0066,65.3746,0,98.9258,0,1.0742
"28","Vitellaria paradoxa",0.797,0,13.6431,0,86.3569,0,34.7246,0,65.2754
