"","species","AUC","bio16.contribution","bio4.contribution","gpw2000_30_sec.contribution","simplelc2000.contribution","bio16.permutation.importance","bio4.permutation.importance","gpw2000_30_sec.permutation.importance","simplelc2000.permutation.importance"
"1","Monodora myristica",0.7918,1.2902,79.9953,0.0276,18.6869,0,95.8134,0.2326,3.954
"2","Piper guineense",0.8142,0,72.7875,0.0168,27.1957,0,94.4345,0.1157,5.4498
