"","species","AUC","bio16.contribution","bio4.contribution","gpw2000_30_sec.contribution","simplelc2000.contribution","bio16.permutation.importance","bio4.permutation.importance","gpw2000_30_sec.permutation.importance","simplelc2000.permutation.importance"
"1","Abelmoschus esculentus",0.6859,1.8511,75.7791,0.1333,22.2366,1.6186,80.5162,0,17.8652
"2","Acalypha ciliata",0.7815,14.419,29.9081,0,55.6729,20.5304,28.8027,0,50.6669
"3","Acanthospermum hispidum",0.7859,0,2.5265,28.7289,68.7445,0,30.2233,8.6849,61.0918
"4","Adansonia digitata",0.7541,0,99.981,0,0.019,0,99.0033,0,0.9967
"5","Adenia cissampeloides",0.8341,0,78.3394,0.3504,21.3102,0,97.6711,2.3289,0
"6","Adenia lobata",0.8384,2.4047,71.2923,8.2066,18.0964,3.242,85.984,9.1474,1.6266
"7","Adiantum vogelii",0.8069,1.505,92.667,3e-04,5.8277,5.0241,93.5102,0,1.4657
"8","Afrostyrax lepidophyllus",0.7453,0,100,0,0,0,100,0,0
"9","Afzelia africana",0.7454,57.474,23.4231,2.3251,16.7779,56.4216,38.1991,0.6305,4.7488
"10","Albizia ferruginea",0.7761,8.4301,7.8673,0.5079,83.1948,15.6905,17.5359,2.1809,64.5927
"11","Albizia zygia",0.736,0,0.1922,0.0858,99.722,0,13.3389,0,86.6611
"12","Alchornea cordifolia",0.7128,0,76.3352,19.8332,3.8315,0,73.0243,10.2203,16.7554
"13","Alstonia boonei",0.823,3.3086,35.1828,5.8981,55.6105,5.9143,68.0111,4.5052,21.5694
"14","Alternanthera pungens",0.7715,0,0,8.8154,91.1846,0,0,76.222,23.778
"15","Alternanthera sessilis",0.7394,46.856,8.3768,0.228,44.5392,24.8203,27.357,0.0676,47.7551
"16","Amaranthus spinosus",0.5758,0,0,0,100,0,0,0,100
"17","Amaranthus viridis",0.7624,33.9906,0,13.9242,52.0852,72.2728,0,6.4336,21.2936
"18","Amphimas pterocarpoides",0.7855,0,20.0462,0.001,79.9528,0,60.8302,0,39.1698
"19","Annona muricata",0.8732,69.2028,0,0,30.7972,81.9476,0,0,18.0524
"20","Annona senegalensis",0.656,27.399,47.9375,10.1052,14.5584,33.1808,55.8408,3.4707,7.5077
"21","Anthocleista nobilis",0.9414,64.0274,23.1864,0.0579,12.7283,54.008,44.9091,0.5103,0.5726
"22","Antiaris toxicaria",0.7977,1.9075,8.1054,20.7824,69.2047,0,23.2607,9.2546,67.4848
"23","Antrocaryon micraster",0.7834,7.2637,23.7255,0,69.0108,13.3741,31.8997,0,54.7262
"24","Arachis hypogaea",0.7552,10.3062,78.5497,0.0599,11.0842,15.9112,69.5768,0.2688,14.2432
"25","Aspilia africana",0.7616,5.4135,87.8077,6.6656,0.1132,4.5342,80.3251,15.1407,0
"26","Astraea lobata",0.6244,0.2681,0,0,99.7319,0,0,0,100
"27","Asystasia gangetica",0.7532,12.9122,26.7908,57.1358,3.1612,14.0356,40.6614,38.0475,7.2554
"28","Azadirachta indica",0.7585,0,0,4.8126,95.1874,0,0,10.5137,89.4863
"29","Balanites aegyptiaca",0.8148,0.5644,97.3658,0,2.0698,1.3334,93.441,0,5.2256
"30","Baphia nitida",0.8134,2.7204,52.5831,12.7953,31.9012,1.3977,77.0141,12.1714,9.4168
"31","Bauhinia thonningii",0.7321,34.4531,30.5842,0,34.9627,43.6403,42.1901,0,14.1696
"32","Berlinia confusa",0.8494,0.4472,22.3645,0.2858,76.9025,1.0443,40.4769,0.0987,58.3801
"33","Bertiera racemosa",0.8491,0,76.4348,0,23.5652,0,95.3016,0,4.6984
"34","Bidens pilosa",0.7298,36.0713,0,9.8536,54.0751,55.4215,0,0.2375,44.341
"35","Biophytum umbraculum",0.7356,74.0837,0,0,25.9163,77.7017,0,0,22.2983
"36","Blighia sapida",0.8058,2.1332,12.9968,19.2105,65.6595,14.4498,13.2146,13.3822,58.9535
"37","Blighia unijugata",0.8041,0.1025,54.1751,0.9488,44.7736,0.1396,81.6795,2.4534,15.7275
"38","Blighia welwitschii",0.8188,0,96.3398,0.134,3.5262,0,93.0496,0.1121,6.8383
"39","Boerhavia coccinea",0.6832,0,0,0.7408,99.2592,0,0,0,100
"40","Boerhavia diffusa",0.7445,0,0,0,100,0,0,0,100
"41","Bombax buonopozense",0.795,12.8712,0,0,87.1288,21.6691,0,0,78.3309
"42","Bridelia ferruginea",0.7263,59.6086,13.7127,14.9726,11.7062,71.6942,24.8201,2.5085,0.9772
"43","Burkea africana",0.7951,1.6218,67.6503,14.1989,16.5289,13.749,64.1646,9.348,12.7384
"44","Caesalpinia benthamiana",0.8046,74.2645,25.4353,0.3002,0,50.7827,49.1443,0.073,0
"45","Calotropis procera",0.6805,0,0,0,100,0,0,0,100
"46","Cantinoa americana",0.7863,0.4328,79.3295,2.0061,18.2316,1.2516,86.1499,6.5897,6.0089
"47","Capsicum annuum",0.8027,44.957,33.2363,0.3647,21.442,64.1831,21.6738,1.0245,13.1187
