Categories,No_sp,AUC 
Agriculture,56,0.571
Construction,18,0.691
Culture,14,0.531
Energy,22,0.656
Food and nutrition,33,0.587
Healthcare ,861,0.554
Social,24,0.68
Water purification,1,0.768
