Categories,convex_hull km,AUC 
Agriculture,246851.6,0.571
Construction ,233272.8,0.691
Culture,225319.7,0.531
Energy,213790,0.656
Food and nutrition,244373.6,0.587
Healthcare,261629.5,0.554
Social,231600.7,0.68
Water purification,59854.49,0.768
