"","species","AUC","bio16.contribution","bio4.contribution","gpw2000_30_sec.contribution","simplelc2000.contribution","bio16.permutation.importance","bio4.permutation.importance","gpw2000_30_sec.permutation.importance","simplelc2000.permutation.importance"
"1","Adiantum vogelii",0.8069,1.505,92.667,3e-04,5.8277,5.0241,93.5102,0,1.4657
"2","Albizia zygia",0.736,0,0.1922,0.0858,99.722,0,13.3389,0,86.6611
"3","Alchornea cordifolia",0.7128,0,76.3352,19.8332,3.8315,0,73.0243,10.2203,16.7554
"4","Alstonia boonei",0.823,3.3086,35.1828,5.8981,55.6105,5.9143,68.0111,4.5052,21.5694
"5","Alternanthera pungens",0.7715,0,0,8.8154,91.1846,0,0,76.222,23.778
"6","Annona senegalensis",0.656,27.399,47.9375,10.1052,14.5584,33.1808,55.8408,3.4707,7.5077
"7","Antrocaryon micraster",0.7834,7.2637,23.7255,0,69.0108,13.3741,31.8997,0,54.7262
"8","Azadirachta indica",0.7585,0,0,4.8126,95.1874,0,0,10.5137,89.4863
"9","Balanites aegyptiaca",0.8148,0.5644,97.3658,0,2.0698,1.3334,93.441,0,5.2256
"10","Bauhinia thonningii",0.7321,34.4531,30.5842,0,34.9627,43.6403,42.1901,0,14.1696
"11","Biophytum umbraculum",0.7356,74.0837,0,0,25.9163,77.7017,0,0,22.2983
"12","Blighia sapida",0.8058,2.1332,12.9968,19.2105,65.6595,14.4498,13.2146,13.3822,58.9535
"13","Blighia welwitschii",0.8188,0,96.3398,0.134,3.5262,0,93.0496,0.1121,6.8383
"14","Bridelia ferruginea",0.7263,59.6086,13.7127,14.9726,11.7062,71.6942,24.8201,2.5085,0.9772
"15","Burkea africana",0.7951,1.6218,67.6503,14.1989,16.5289,13.749,64.1646,9.348,12.7384
"16","Calotropis procera",0.6805,0,0,0,100,0,0,0,100
"17","Celtis mildbraedii",0.8279,2.1844,28.0793,0.1651,69.5713,3.1846,68.8098,0.3231,27.6825
"18","Chromolaena odorata",0.8154,31.2289,0,0,68.7711,22.1223,0,0,77.8777
"19","Cleistopholis patens",0.8045,0,13.5111,0.0327,86.4562,0,0,0.8236,99.1764
"20","Cola gigantea",0.7562,0.2645,23.1016,0.0366,76.5973,2.7388,0,1.2024,96.0588
"21","Combretum adenogonium",0.715,14.6014,73.7686,0.7796,10.8503,2.3579,95.8771,1.7651,0
"22","Combretum dolichopetalum",0.8619,0,78.1831,0.238,21.579,0,78.8015,0.3679,20.8306
"23","Combretum mucronatum",0.6538,1.7983,88.9152,4.1666,5.1198,5.666,94.334,0,0
"24","Corchorus olitorius",0.768,93.0337,0,0,6.9663,37.4818,0,0,62.5182
"25","Cryptolepis nigrescens",0.7871,22.597,34.2682,1.1247,42.0101,19.359,59.7509,0,20.8901
"26","Diospyros mespiliformis",0.7791,33.7297,63.9101,0,2.3602,36.5633,59.1011,0,4.3356
"27","Dracaena arborea",0.7803,0,42.6731,0,57.3269,0,83.0929,0,16.9071
"28","Elaeis guineensis",0.8561,0,0.2782,1.8129,97.9089,0,16.768,10.6615,72.5704
"29","Euphorbia drupifera",0.8998,60.9389,3.2973,0,35.7638,89.494,1.4133,0,9.0927
"30","Ficus asperifolia",0.6668,0,9e-04,1.0867,98.9124,0,0,1.209,98.791
"31","Ficus exasperata",0.7613,1.0574,29.6132,0,69.3294,16.8694,32.1764,0,50.9542
"32","Flueggea virosa",0.7821,48.148,0,17.9948,33.8572,58.4708,0,0,41.5292
"33","Gardenia ternifolia",0.6952,1.0413,3.1481,17.1695,78.6412,18.7727,39.5222,15.8393,25.8658
"34","Gymnanthemum coloratum",0.6874,56.2464,0.0184,0,43.7352,89.5961,6.8271,0,3.5768
"35","Heliotropium indicum",0.7452,0,7.8327,48.3725,43.7948,0,31.0816,64.1898,4.7285
"36","Hoslundia opposita",0.7409,0,23.2404,31.5916,45.168,0,39.1118,30.7796,30.1086
"37","Isoberlinia doka",0.7983,3.0411,53.1656,6.2062,37.5871,0,50.9906,31.583,17.4264
"38","Justicia flava",0.678,0.0658,24.1515,74.1156,1.6671,0.8059,58.8658,27.1997,13.1286
"39","Khaya anthotheca",0.7498,1.0113,15.0561,0.2656,83.6669,7.5602,9.1386,0.1747,83.1265
"40","Khaya senegalensis",0.686,0,44.3095,0,55.6905,0,82.1237,0,17.8763
"41","Lecaniodiscus cupanioides",0.6982,22.9277,64.0341,0.0518,12.9864,14.3997,73.4981,0.129,11.9732
"42","Mallotus oppositifolius",0.751,10.3566,30.8835,9.3355,49.4244,31.7114,31.999,7.3106,28.9789
"43","Manihot esculenta",0.6617,0.0118,35.7084,0.7903,63.4895,0,47.8318,0,52.1682
"44","Milicia excelsa",0.7506,2.3728,85.4161,2.64,9.571,5.864,85.8585,3.4413,4.8362
"45","Mitracarpus hirtus",0.7449,14.1571,1.228,45.2234,39.3915,23.7638,0,34.0201,42.2161
"46","Momordica charantia",0.8173,0,69.875,0,30.125,0,75.3325,0,24.6675
"47","Morinda lucida",0.77,1.8594,56.4831,13.6809,27.9766,10.0859,25.5349,8.3113,56.068
"48","Moringa oleifera",0.7845,0,0.6774,0,99.3226,0,66.9527,0,33.0473
"49","Ocimum gratissimum",0.7941,1.2831,90.4376,0,8.2792,8.048,77.1716,0,14.7804
"50","Phyllanthus muellerianus",0.5558,0,52.6456,0,47.3544,0,100,0,0
"51","Pouteria altissima",0.8163,0.3866,23.1506,0,76.4628,0,41.3954,0,58.6046
"52","Prosopis africana",0.7668,0,100,0,0,0,100,0,0
"53","Pycnanthus angolensis",0.843,6.3841,18.1515,1.1354,74.329,1.3209,48.2326,3.6683,46.7782
"54","Quassia undulata",0.6816,46.3134,16.3585,14.4005,22.9276,55.4683,16.6905,9.9369,17.9043
"55","Rauvolfia vomitoria",0.8123,0.9041,59.8029,2.8593,36.4336,0.8661,93.8794,2.9564,2.2982
"56","Senegalia kamerunensis",0.8303,0.7938,84.0396,0,15.1667,0.9127,99.0873,0,0
"57","Senna occidentalis",0.7203,0,5.4818,14.9053,79.6129,0,63.2231,13.7866,22.9902
"58","Senna podocarpa",0.5,0,0,0,0,0,0,0,0
