"","species","AUC","bio16.contribution","bio4.contribution","gpw2000_30_sec.contribution","simplelc2000.contribution","bio16.permutation.importance","bio4.permutation.importance","gpw2000_30_sec.permutation.importance","simplelc2000.permutation.importance"
"1","Acanthospermum hispidum",0.7859,0,2.5265,28.7289,68.7445,0,30.2233,8.6849,61.0918
"2","Afzelia africana",0.7454,57.474,23.4231,2.3251,16.7779,56.4216,38.1991,0.6305,4.7488
"3","Albizia ferruginea",0.7761,8.4301,7.8673,0.5079,83.1948,15.6905,17.5359,2.1809,64.5927
"4","Albizia zygia",0.736,0,0.1922,0.0858,99.722,0,13.3389,0,86.6611
"5","Alchornea cordifolia",0.7128,0,76.3352,19.8332,3.8315,0,73.0243,10.2203,16.7554
"6","Annona muricata",0.8732,69.2028,0,0,30.7972,81.9476,0,0,18.0524
"7","Antiaris toxicaria",0.7977,1.9075,8.1054,20.7824,69.2047,0,23.2607,9.2546,67.4848
"8","Azadirachta indica",0.7585,0,0,4.8126,95.1874,0,0,10.5137,89.4863
"9","Baphia nitida",0.8134,2.7204,52.5831,12.7953,31.9012,1.3977,77.0141,12.1714,9.4168
"10","Berlinia confusa",0.8494,0.4472,22.3645,0.2858,76.9025,1.0443,40.4769,0.0987,58.3801
"11","Blighia sapida",0.8058,2.1332,12.9968,19.2105,65.6595,14.4498,13.2146,13.3822,58.9535
"12","Boerhavia coccinea",0.6832,0,0,0.7408,99.2592,0,0,0,100
"13","Boerhavia diffusa",0.7445,0,0,0,100,0,0,0,100
"14","Bombax buonopozense",0.795,12.8712,0,0,87.1288,21.6691,0,0,78.3309
"15","Bridelia ferruginea",0.7263,59.6086,13.7127,14.9726,11.7062,71.6942,24.8201,2.5085,0.9772
"16","Chromolaena odorata",0.8154,31.2289,0,0,68.7711,22.1223,0,0,77.8777
"17","Citrullus lanatus",0.6962,53.6909,1.2324,0,45.0767,40.8518,7.3037,0,51.8445
"18","Cleistopholis patens",0.8045,0,13.5111,0.0327,86.4562,0,0,0.8236,99.1764
"19","Cnestis ferruginea",0.7685,9.2947,72.1102,2.5922,16.0029,3.0746,92.2526,3.2515,1.4213
"20","Copaifera salikounda",0.7921,0,88.7498,0.0026,11.2476,0,91.8991,0.115,7.9859
"21","Cussonia arborea",0.7853,27.262,2.1421,10.6303,59.9657,36.9914,8.201,0,54.8076
"22","Eclipta alba",0.7853,0.7279,1.3932,5.753,92.1259,1.2273,16.3452,3.3612,79.0663
"23","Euphorbia hirta",0.729,1.862,0,67.0474,31.0906,16.8322,0,39.2095,43.9583
"24","Heritiera utilis",0.8275,29.0974,45.0143,0.1132,25.775,35.9647,62.5015,0.6912,0.8426
"25","Khaya senegalensis",0.686,0,44.3095,0,55.6905,0,82.1237,0,17.8763
"26","Kigelia africana",0.7658,1.5556,0,0,98.4444,12.3162,0,0,87.6838
"27","Launaea taraxacifolia",0.8721,50.517,6.6331,0.0384,42.8116,33.0565,7.645,0.1692,59.1294
"28","Manihot esculenta",0.6617,0.0118,35.7084,0.7903,63.4895,0,47.8318,0,52.1682
"29","Mitragyna inermis",0.7551,62.611,4.6946,0.5273,32.1671,60.0271,23.6001,0,16.3727
"30","Momordica charantia",0.8173,0,69.875,0,30.125,0,75.3325,0,24.6675
"31","Monosis conferta",0.8492,1.2852,47.8948,0,50.8201,5.5332,80.3495,0,14.1173
"32","Morinda lucida",0.77,1.8594,56.4831,13.6809,27.9766,10.0859,25.5349,8.3113,56.068
"33","Moringa oleifera",0.7845,0,0.6774,0,99.3226,0,66.9527,0,33.0473
"34","Nauclea diderrichii",0.811,0,26.096,2.3792,71.5247,0,42.3284,6.5854,51.0862
"35","Newbouldia laevis",0.805,2.2371,32.8917,0,64.8712,2.4398,64.6429,0,32.9174
"36","Ocimum gratissimum",0.7941,1.2831,90.4376,0,8.2792,8.048,77.1716,0,14.7804
"37","Parkia bicolor",0.8553,3.1431,26.3806,0,70.4763,0,56.0535,0,43.9465
"38","Paullinia pinnata",0.6698,14.9082,0,0.0863,85.0055,18.6463,0,2.1035,79.2502
"39","Pentaclethra macrophylla",0.8428,17.1049,44.5729,0.6377,37.6845,11.4345,82.3781,2.7642,3.4232
"40","Ricinodendron heudelotii",0.778,0.2588,64.6999,0.4093,34.632,0,93.3626,3.739,2.8985
"41","Senna occidentalis",0.7203,0,5.4818,14.9053,79.6129,0,63.2231,13.7866,22.9902
"42","Senna siamea",0.7029,25.3231,0,8.8552,65.8217,66.6667,0,8.2753,25.0581
"43","Smilax anceps",0.6227,24.7874,75.2126,0,0,0,100,0,0
"44","Solanum melongena",0.8099,0,0.9492,0,99.0508,0,55.9966,0,44.0034
"45","Sorghum bicolor",0.8283,0.8634,98.0793,0.008,1.0493,0.8067,98.1727,0,1.0205
"46","Sphenocentrum jollyanum",0.834,0.1248,63.1424,0,36.7329,0.2129,76.0658,0,23.7213
"47","Terminalia ivorensis",0.8181,0,41.5545,20.1196,38.3259,0,76.5357,17.6954,5.7689
"48","Thaumatococcus daniellii",0.816,0.2686,57.8267,0.3065,41.5982,0.7773,91.3665,0.0501,7.8061
"49","Vitellaria paradoxa",0.797,0,13.6431,0,86.3569,0,34.7246,0,65.2754
"50","Vitex doniana",0.6312,75.7919,21.808,2.4001,0,20.3484,79.6516,0,0
